NAME,POL_Prop_ID,PROPERTYID
Alex Rovello Memorial Courts - Berkeley Park,1455,101455
Peninsula Outdoor Pool,1447,101447
Montavilla Outdoor Pool,1446,101446
NE 72nd Ave Community Garden,1444,101444
"Harpers Playground                                ",1452,101452
Cesar Chavez Community Garden,1470,1505
David Douglas Community Garden,1469,1504
Floyd Light Community Garden,1468,1503
SW Cor/Castle and N Shaver St (Overlook Triangle),0,1502
Marquam Trail,0,1500
Powell Butte Community Garden,1472,1498
Ventura Park Elementary School,0,1496
Eastminster Community Garden,1467,1494
Maint Facility - Swan Island,0,1493
Crossroads Community Garden,1458,1489
N Crawford St and N Polk Ave Property,0,1487
Gateway Green Property,1460,1484
NW Glisan Street Loo,0,1483
Maint Facility - East Delta Park,0,1482
Maint Facility - Chimney Park,0,1481
Colwood Property,1454,1480
SE Division St and SE 150th Ave Property,0,1479
Station21:  05 SE Madison,0,1478
Maint Facility - Washington Park,0,1477
Skidmore Fountain,0,1476
Station31:  1927 SE 174th Ave,0,1475
Station07:  1500 SE 122nd Ave,0,1474
Station27:  3130 NW Skyline Blvd,0,1473
Lee Kelly Fountain,0,1472
Elk Fountain,0,1471
Chimney Fountain,0,1470
Gerber Animals,0,1469
Centennial Park Community Garden,1450,1465
Oliver-Parklane Community Garden,1449,1464
Foster Floodplain Natural Area,1451,1463
Catkin Marsh Natural Area,0,1462
Flyway Wetlands Natural Area,0,1461
Helensview Community Garden,1443,1459
Indian Creek Natural Area,1442,1458
Mt Tabor Community Garden,1445,1455
Grant Community Garden,1439,1443
Portland Firefighters Park,0,1442
Gilbert Heights Community Gardens,0,1435
Adams Community Garden,45,1434
Delta Park,34,1429
Maint Facility - Urban Forestry Yard,0,1428
River View Natural Area,1438,1427
Sumner Street Community Garden,1423,1423
Bridgeton Slough Natural Area,1421,1421
Frazer Community Garden,1420,1420
Errol Heights Community Garden,1419,1419
Ed Benedict Community Garden,1418,1418
Big Four Corners Natural Area,1417,1417
Cross Levee Natural Area,1416,1416
Kenton Community Garden,1430,1415
Wilkes Headwaters Property,1414,1414
Deardorff Creek Natural Area,1413,1413
Waud Bluff Trail,1412,1412
South Waterfront Greenway Central District,1457,1411
Furey Community Garden,1410,1410
Maintenance Facility - 26th & Tacoma,0,1408
Veterans Creek Natural Area,1407,1407
Baltimore Woods Natural Area,1406,1406
Marine Drive Trail,0,1405
Clarendon Community Garden,1425,1404
SW Martha and 49th,0,1400
Maintenance Facility - Chimney Park,0,1399
Brannen Property,1398,1398
Gilbert Heights Community Garden,1396,1396
Beggars Tick,1395,1395
Station 27: 3130 NW Skyline Blvd,0,1394
Powell Butte - Lower Floodplain,1393,1393
Leach Botanical Garden - Noll House,0,1392
Gates - Anchor Bank Rental House B,0,1391
Gates - Anchor Bank Rental House A,0,1390
Maint Facility - 89th and Flavel,0,1388
Buttes Natural Area,1386,1386
Elizabeth Caruthers Park,1385,1385
Khunamokwst Park,1456,1384
