"CATEGORY_NAME","CONTENT_ID","CONTENT_NAME","DEPTH","EXPIRE_DATE","LAST_UPDATED_DATE","PUBLISH_DATE","STATUS","SUMMARY_TEXT","TEXT","URL",
"Auditor's Blog",565240,"Welcome to our new web page!",1,"","2016-02-17 20:51:32 UTC","2016-02-17 19:17:00 UTC","A","","<p>We hope you find this&nbsp;format&nbsp;easier to navigate to content and services provided by the Auditor's Office. Our goal is to provide timely&nbsp;information you need to hold&nbsp;the City&nbsp;accountable and make sure decision-making is transparent.&nbsp;</p>
<p>Please note: The <strong>Charter, Code and Policy Documents pages</strong> can be accessed directly, independent of the Auditor's web page.&nbsp;Those pages now&nbsp;have&nbsp;links to contact information for Bureaus most capable of responding to questions. Find the&nbsp;Charter and Code <a title=""Portland Charter and Code"" href=""/citycode/28148"">page</a>&nbsp;here and the&nbsp;Policy Documents page&nbsp;<a title=""Portland Policy Documents"" href=""/auditor/26812"">here</a>.&nbsp; Besides easier access, an&nbsp;improved keyword search function will be added&nbsp;to the Charter, Code and Policy Documents soon. [<strong>Note</strong> also that <strong>Title 33, Planning and Zoning</strong>,&nbsp;currently is on the Bureau of Planning and Sustainability's <a title=""Portland Zoning Code"" href=""/bps/31612"">page</a>.]</p>
<p>We appreciate your patience while we finish some&nbsp;details and work out the bugs.&nbsp;If you notice anything amiss, such as broken links or missing content, please notify the division responsible for the page or me. Contact information is available <a title=""Auditor's Office contacts"" href=""/auditor/article/564229"">here</a> and at the top of each page.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>","https://www.portlandoregon.gov/auditor/article/565240",
"Auditor's Blog",565862,"Meet our new colleagues",1,"","2016-02-29 23:29:26 UTC","2016-02-23 01:41:00 UTC","A","","<p>These talented people joined the Auditor's Office in the past several months:</p>
<p><strong>Minh Dan Vuong</strong>&nbsp;joined Audit Services from the City of San Jose&rsquo;s Auditor&rsquo;s Office, where he worked since 2012. In San Jose, Minh Dan&rsquo;s audits included street pavement maintenance, golf courses, and call center operations. He participates in the Online Resources Committee of the Association of Local Government Auditors. In 2011-2012, Minh Dan held a CORO Fellowship in Public Affairs, assigned to the San Francisco Public Utilities Commission, the Port of Oakland, as well as non-profits, businesses, and a Congressional campaign. Minh Dan graduated with a Bachelor of Arts in Economics from Stanford University.</p>
<p><strong>Ramsey AlQaisi </strong>is the latest addition to the Independent Police Review staff, where he is a&nbsp;complaint investigator.&nbsp;Ramsey grew up in New York City and&nbsp;attended the State University of New York at Purchase College,&nbsp;where he earned a Bachelor of Arts degree in Anthropology and Political Science. Prior to moving to Portland, Ramsey worked at the Civilian Complaint Review Board in New York City and conducted investigations into allegations of police misconduct involving the New York Police Department. Most recently he was an investigator with the Department of Investigation, which takes on unethical conduct, fraud and corruption in New York City.</p>
<p><strong>Deirdre Perez</strong> is&nbsp;a complaint investigator with Independent Police Review. She was born in Long Island, New York. She attended the University of Texas, where she received a Master&rsquo;s in Public Affairs, as well as Florida International University, where she received a Bachelor&rsquo;s in International Relations and Geography. Deirdre is bilingual in Spanish and has more than seven years of experience working for a variety of state and local governments in addition to non-profit organizations. Deirdre is relatively new to the Portland area.&nbsp; She enjoys photography, practicing mixed martial arts, hiking with her two dogs, and playing music and video games with her husband.</p>
<p><strong>Meghaan Davis</strong> started Oct. 6 as an&nbsp;Office Support Specialist II&nbsp;in the Council Clerk/Contracts Office. Meghaan first joined the City as an intern with Human Resources in 2013 and completed a second internship in Procurement Services.&nbsp;She came to the Auditor's Office after&nbsp;working in Development Services as a Community Service Aide.</p>
<p><strong>Ashbel (Tony) Green</strong> became the&nbsp;new Deputy Ombudsman&nbsp;in&nbsp;September. Tony has a background in journalism and experience in State government. He spent more than 20 years as a reporter for the <em>Oregonian</em>, creating the paper&rsquo;s first-ever legal affairs beat. He covered many seminal issues, including Oregon&rsquo;s capital punishment system, the Portland Archdiocese's priest sex abuse crisis, and the National Security Agency&rsquo;s warrantless wiretapping program. Tony later moved to State government, most recently serving as Communications Director for the Oregon Secretary of State&rsquo;s Office. He graduated from Wesleyan University and earned a Master of Studies in Law from Yale Law School.</p>
<p><strong>Gwen Amsbury</strong> joined Archives and Records management as a&nbsp;records specialist.&nbsp;Before that,&nbsp;Gwen spent seven years as a records and information manager at Miller Nash, LLP. She received a master&rsquo;s degree from the University of Michigan and spent a summer in Florence, Italy, as a library intern.</p>
<p><strong>Adelia Hwang</strong> is the<strong>&nbsp;</strong>part-time Hearings Officer. Previously, Adelia worked for the State of Oregon&rsquo;s Employment Department as an adjudicator. She is an avid gardener and volunteers for the Audubon Society.&nbsp;</p>","https://www.portlandoregon.gov/auditor/article/565862",
"Auditor's Blog",566887,"Have an idea for an audit?",1,"","2016-03-11 20:53:15 UTC","2016-03-01 00:35:00 UTC","A","","<p>It&rsquo;s time to begin assembling our next list of performance audit topics, and I&rsquo;d like your suggestions. Our goal is to use audits to help the City become more efficient, effective and equitable and provide information for the public to hold City leaders and managers accountable.</p>
<p>So what makes a good audit topic? Performance audits focus on factors that interfere with the City achieving its goals and make recommendations to overcome them. Some common barriers are overall mismanagement, too few resources, poorly directed resources, and lack of prioritization among competing demands.</p>
<p>Considerations that go into the audit selection process include: dollar amounts involved, whether it involves a major public service, level of risk to life, health, and safety; potential for cost savings, and whether it is of interest to the public.</p>
<p>You can find the list of audits we currently are working on <a href=""/auditservices/index.cfm?a=557290"">here</a>.&nbsp;</p>
<p>If you have ideas for next fiscal year, which begins July 1,<strong> please submit them <a href=""/auditservices/70028"">here</a>.</strong></p>
<p class=""content-right""><em>--Mary Hull Caballero</em></p>","https://www.portlandoregon.gov/auditor/article/566887",
"Auditor's Blog",568888,"The Mayor's surprising question",1,"","2016-03-14 22:02:57 UTC","2016-03-11 17:38:00 UTC","A","","<p style=""font-weight: normal; font-style: normal; ; color: #000000;"">During a meeting last week to discuss the Auditor&rsquo;s Office budget, Mayor Hales posed a question: What is the relevancy of the Ombudsman&rsquo;s Office?&nbsp;</p>
<p><a title=""2014 Ombudsman Annual Report"" href=""/ombudsman/article/539121"" target=""_self""><img style=""float: right; border: 0; margin-left: 5px; margin-right: 5px; margin-top: 0px; margin-bottom: 0px;"" src=""/shared/cfm/image.cfm?id=568887"" alt=""2014 Ombudsman Annual Report"" width=""219"" height=""413"" /></a></p>
<p style=""font-weight: normal; font-style: normal; ; color: #000000;"">The question surprised me because of the essential role the Ombudsman plays in promoting transparent and accountable government.</p>
<p style=""font-weight: normal; font-style: normal; ; color: #000000;"">It was the Ombudsman who helped develop evidence that led to the indictment and guilty plea of a former employee who was taking bribes related to a parking meter contract. It was the Ombudsman who exposed the inequity of charging people more than $1,300 for an impartial hearing when they felt wronged by a City action. It was the Ombudsman who brought to justice a company that was defrauding the City&rsquo;s social equity in a contracting program. And it was the Ombudsman who pointed out that members of a stakeholder advisory board needed to disclose any conflicts of interest before Council considered their recommendations.</p>
<p style=""font-weight: normal; font-style: normal; ; color: #000000;"">Others in the City knew of these incidents and occurrences, but it was the Ombudsman who acted. The Auditor&rsquo;s Office is the only function in City government whose sole responsibility is to hold the City accountable.</p>
<p style=""font-weight: normal; font-style: normal; ; color: #000000;"">There is no more important contribution to transparent and accountable government than eliminating fraud, inequity, injustice and conflicts-of-interest. That, Mayor Hales, is why the Ombudsman&rsquo;s Office is relevant&nbsp;<em style=""font-size: 13.2px;"">and</em>&nbsp;cost-effective. It&rsquo;s also why I added staff to help sort out the hundreds of complaints it receives each year. There's more information in the 2014 annual report (click on cover) and the 2015 report will be out soon.</p>
<p style=""font-weight: normal; font-style: normal; ; color: #000000;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &nbsp;<em>-- Mary Hull Caballero</em></p>
<p style=""font-weight: normal; font-style: normal; ; color: #000000;"">&nbsp;</p>
<p style=""font-weight: normal; font-style: normal; ; color: #ffffff; line-height: normal;"">&nbsp;</p>","https://www.portlandoregon.gov/auditor/article/568888",
"Auditor's Blog",569359,"Applications for Hearings Officer accepted March 28-April 8",1,"","2016-03-14 22:57:54 UTC","2016-03-14 22:46:00 UTC","A","","<p>The City of Portland has announced resumes will soon be accepted for&nbsp;its Hearings Officer opening.</p>
<p><strong>Opens: </strong>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; March 28, 2016</p>
<p><strong>Closes:</strong>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; April 8, 2016</p>
<p><strong>Salary range:</strong>&nbsp; $94,931 - $128,627 per year</p>
<p>The Hearings Officer acts on behalf of City Council to conduct quasi-judicial administrative hearings on land use, code enforcement, vehicle tows, appeals and related matters. The position is in the City Auditor&rsquo;s Office, which provides administrative support to the Hearings Office as well as an independent base from which to make impartial decisions. The City Auditor is elected and independent from Council and City management.</p>
<p>In addition to hearing cases and preparing written decisions, the Hearings Officer manages a small office, which currently is staffed by two full-time administrative clerks and one part-time Hearings Officer. The Hearings Officer also assigns land use cases to an on-call officer when outside assistance is needed to manage caseloads.</p>
<p>The Auditor&rsquo;s Office values a diverse workforce and seeks ways to foster a culture of equity, diversity and inclusion in delivering public services and everyday interactions in the workplace. The Office encourages candidates with experience working with a broad range of individuals and diverse communities to apply.</p>
<p>Information about the City of Portland&rsquo;s job application system can be found <a href=""/bhr/54930"">here</a>. Resumes will be accepted from March 28-April 8.</p>","https://www.portlandoregon.gov/auditor/article/569359",
"Auditor's Blog",572426,"Changes on deck for lobbyists, elected officials, and high-ranking employees",1,"","2016-04-12 16:16:21 UTC","2016-04-11 23:57:00 UTC","A","","<p>City Council will consider amendments being proposed by the Auditor&rsquo;s Office to strengthen lobbyist registration requirements and broaden revolving-door prohibitions for certain City officials. Deborah Scroggin, who oversees the Lobbyist Registration Program, will outline the changes for Council at 3 p.m., Wednesday, April 13.</p>
<p>If adopted as proposed, the amendments will:</p>
<ul>
<li>
<p>Prohibit City elected officials and their at-will staff from lobbying their former colleagues for two years instead of one and extend the prohibition to any subject matter;</p>
</li>
<li>
<p>Prohibit City directors from lobbying directors of their former bureau and the current Commissioner-in-charge for two years;</p>
</li>
<li>
<p>Increase the maximum penalties from $500 per violation to $3,000 per violation for repeat violators;</p>
</li>
<li>
<p>Add a dollar&nbsp;threshold to the existing number-of-hours threshold that triggers lobbyists to register with the City. If a lobbying entity spends $1,000 or lobbies for eight hours in a quarter, it will have to register;</p>
</li>
<li>
<p>Clarify calendar requirements for elected officials and bureau directors by adding types of information to be disclosed; and,</p>
</li>
<li>
<p>Codify the Auditor&rsquo;s authority to initiate investigations and obtain information needed to enforce the requirements as well as seek recovery of attorney&rsquo;s fees and other expenses.</p>
</li>
</ul>
<p>&nbsp;For additional information, find a summary <a href=""/auditor/article/569568"">here</a> and the proposed Code language <a href=""/auditor/article/572081"">here</a>.</p>","https://www.portlandoregon.gov/auditor/article/572426",
"Auditor's Blog",573300,"Call for talented performance auditors",1,"","2016-04-20 23:47:29 UTC","2016-04-18 15:35:00 UTC","A","","<p>We're recruiting applicants for a Senior Management Auditor position. The deadline to apply <a title=""NeoGov link"" href=""http://agency.governmentjobs.com/portlandor/default.cfm?action=viewJob&amp;jobID=1409404&amp;hit_count=yes&amp;headerFooter=1&amp;promo=0&amp;transfer=0&amp;WDDXJobSearchParams=%3CwddxPacket%20version%3D%271%2E0%27%3E%3Cheader%2F%3E%3Cdata%3E%3Cstruct%3E%3Cvar%20name%3D%27CATEGORYID%27%3E%3Cstring%3E%2D1%3C%2Fstring%3E%3C%2Fvar%3E%3Cvar%20name%3D%27PROMOTIONALJOBS%27%3E%3Cstring%3E0%3C%2Fstring%3E%3C%2Fvar%3E%3Cvar%20name%3D%27TRANSFER%27%3E%3Cstring%3E0%3C%2Fstring%3E%3C%2Fvar%3E%3Cvar%20name%3D%27FIND%5FKEYWORD%27%3E%3Cstring%3E%3C%2Fstring%3E%3C%2Fvar%3E%3C%2Fstruct%3E%3C%2Fdata%3E%3C%2FwddxPacket%3E"">online</a> is May 2, 2016. In addition to a track record of government auditing achievements, we prefer candidates who&nbsp;bring one or more of the following:</p>
<ul>
<li>innovative reporting skills, including data visualization and online formats;</li>
<li>experience with construction, law enforcement, information technology audits; and/or,</li>
<li>an advanced degree or certification.</li>
</ul>
<p>Jump into the applicant pool!</p>","https://www.portlandoregon.gov/auditor/article/573300",
"Auditor's Blog",574010,"Auditor apologizes to the Citizen Review Committee",1,"","2016-04-21 16:54:48 UTC","2016-04-21 16:37:00 UTC","A","","<p><strong>The City fell short in its support of the Citizen Review Committee at a March 30 appeal hearing in which audience members marred the proceedings with disruptive behavior. The&nbsp;Committee is an 11-member volunteer board that brings a community perspective to Portland's police oversight system.&nbsp;I attended&nbsp;last night's meeting&nbsp;to apologize on behalf of the City for not meeting the Committee's expectations. Here's the text of what I said:</strong></p>
<p>I am here to address what occurred at the last meeting and apologize to the Committee for the City&rsquo;s failure to meet your expectations. You should expect a safe and respectful space in which to conduct your volunteer service on behalf of the City. You should expect procedural advice that enables you to hear both sides of a dispute and render an impartial decision.</p>
<p>You got neither on March 30.</p>
<p>I specifically want to apologize to Kristin Malone, who unbeknown to me or IPR Director Severe, received incorrect legal advice that she could not exclude people from the hearing room for disruptive behavior. You did a heroic job of keeping the meeting on track under difficult conditions. Chair Malone received undeserved criticism after the meeting because she acted on the last-minute advice she was given. For that, I apologize.</p>
<p>I also want to apologize to Jim Young, who was the victim of a hostile act by an angry audience member who disagreed with his vote. That is beyond unacceptable.</p>
<p>I also want to acknowledge something that may have gotten lost in the post-meeting analyses. Under adverse circumstances, you provided an invaluable service to the people of Portland by fulfilling your vital role in the police oversight system. You asked good questions and listened respectfully to the answers. You thoughtfully wrestled with the issues and rendered a decision.</p>
<p>Thank you for the many hours you put in on the City&rsquo;s behalf.</p>
<p class=""content-right"">--<em>Mary Hull Caballero</em></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>","https://www.portlandoregon.gov/auditor/article/574010",
"Auditor's Blog",581116,"Mayor’s ignorance gets the better of him",1,"","2016-07-06 15:23:52 UTC","2016-06-17 22:48:00 UTC","A","","<p>Mayor Hales has been using his ignorance that the City has a foreclosure manager to insinuate that the guy must be doing a terrible job. After all, the City hasn&rsquo;t foreclosed on a property since the 1970s!</p>
<p>Let&rsquo;s give the Mayor his due. The City <em>indeed</em> has a foreclosure manager, and he works in the Auditor&rsquo;s Office on the first floor of City Hall &ndash; right under the Mayor&rsquo;s nose. While we&rsquo;re at it, let&rsquo;s also bust some myths perpetuated by the Mayor and Commissioner Dan Saltzman, both of whom should know better given their multiple terms on City Council. Commissioner Saltzman took to the airwaves to question whether this office was the appropriate place for the foreclosure manager, because auditors are &ldquo;meek and mild&rdquo; and &ldquo;don&rsquo;t want to rock the boat.&rdquo; Puh-leez.</p>
<p>Marco Maciel&rsquo;s primary job as the foreclosure manager is to collect payments from property owners who have delinquent lien accounts. The City&rsquo;s collections and foreclosure process is outlined in this section of the <a href=""/citycode/28790"">code</a>. Right there in the first paragraph it says foreclosure is to be used as a last resort. That&rsquo;s why Marco spends most of his time working with property owners to make payments instead of working up case files for Council to consider for foreclosure.</p>
<p>By the time past-due accounts get to Marco, the Office of Management and Finance has made several attempts to get property owners to pay. Marco&rsquo;s accounts, therefore, are the hardest on which to collect, but he&rsquo;s awfully good at it. Since Fiscal Year 2002-2003, payments to the City on delinquent liens have totaled $14 million. Put another way, for every $1 the City pays Marco in salary, he brings in $11.</p>
<p>Once property owners comply with payment requirements, they no longer are subject to foreclosure under the code provisions that govern Marco&rsquo;s work. There are other sections of the code that allow the City to take action if properties pose a danger to the safety of people who enter them. Marco is not authorized to enforce those, but the Mayor and Commissioner Saltzman oversee bureaus that might be.</p>
<p>The City Council for decades has been content to prioritize revenue from lien payments over foreclosing on properties. History shows that the political will to vote on foreclose and pursue it to the end has been rare. That changed a few months ago when the Mayor&rsquo;s office brought together the police, code enforcement staff, and my staff to see what could be done about a handful of properties that have been persistent nuisances in neighborhoods and a drain on City services. The coordination of information held by these three entities led to yesterday&rsquo;s Council vote to foreclose on five vacant properties. From the beginning, my staff and I supported the Mayor&rsquo;s desire to use all the tools the City has available to address the worst properties. That makes it doubly unnecessary for the Mayor to use Marco as a scapegoat for prior inaction on the City&rsquo;s use of foreclosure.</p>
<p>While the properties voted on yesterday were the subject of considerable media attention, they are not representative. Many of property owners with delinquent lien accounts live in their homes but lack the means to pay what can amount to tens of thousands of dollars owed to the City. Per the code, it is Marco&rsquo;s job to arrange payment options they can afford. The daily grind of that important work is what went unnoticed by those content to speak in ignorance.</p>
<p class=""content-right""><em>-- Mary Hull Caballero</em></p>","https://www.portlandoregon.gov/auditor/article/581116",
"Auditor's Blog",582287,"Lobbying reform proposal adopted by Council",1,"","2016-06-29 23:57:23 UTC","2016-06-29 23:53:00 UTC","A","","<p>It will be tougher for City officials to lobby their former City Hall colleagues when they leave public service under code changes adopted unanimously by City Council today. They go into effect Sept. 1.</p>
<p>The Auditor&rsquo;s Office proposed the changes to limit the incentive for City employees to trade on knowledge gained during their public service on behalf of private interests when they leave. The proposal focused on elected officials, their salaried staff, and Bureau directors. The proposal, a marked up version of which you can read <a href=""/auditor/article/582282"">here</a>, includes a number of other improvements to existing code, including increasing the penalties to $3,000 per violation if they fail to comply with registration and reporting requirements.</p>
<p>My thanks to Deborah Scroggin, who oversees the lobbying registration program, for developing the proposal and shepherding it along the bumpy road to passage. Thanks also to Commissioner Nick Fish for signing on as a co-sponsor and championing government transparency.</p>
<p class=""content-right""><em>-- Mary Hull Caballero</em></p>","https://www.portlandoregon.gov/auditor/article/582287",
