CATEGORY_NAME,CONTENT_ID,CONTENT_NAME,CONTENT_TYPE,DEPTH,EXPIRE_DATE,LAST_UPDATED_DATE,PUBLISH_DATE,STATUS,SUMMARY_TEXT,TEXT,URL
2017 Reports (Weekly),667638,"December 25, 2017 to December 31, 2017 Commercial Building Permit Intakes",B,2,,2018-01-02 23:24:29 UTC,2018-01-02 23:23:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/667638
2017 Reports (Weekly),667639,"December 25, 2017 to December 31, 2017 Issued Commercial Building Permits",B,2,,2018-01-02 23:25:03 UTC,2018-01-02 23:24:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/667639
2017 Reports (Weekly),667640,"December 25, 2017 to December 31, 2017 Land Use Review Intakes",B,2,,2018-01-02 23:26:00 UTC,2018-01-02 23:25:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/667640
2017 Reports (Weekly),667641,"December 25, 2017 to December 31, 2017 Facility Permit Intakes",B,2,,2018-01-02 23:26:27 UTC,2018-01-02 23:26:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/667641
2017 Reports (Weekly),667642,"December 25, 2017 to December 31, 2017 Issued Facility Permits",B,2,,2018-01-02 23:26:50 UTC,2018-01-02 23:26:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/667642
2017 Reports (Weekly),667643,"December 25, 2017 to December 31, 2017 Residential Permit Intakes",B,2,,2018-01-02 23:27:18 UTC,2018-01-02 23:26:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/667643
2017 Reports (Weekly),667644,"December 25, 2017 to December 31, 2017 Issued Residential Permits",B,2,,2018-01-02 23:27:47 UTC,2018-01-02 23:27:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/667644
2017 Reports (Monthly),667825,December 2017 Commercial Building Permit Intakes,B,2,,2018-01-03 23:35:47 UTC,2018-01-03 23:32:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/667825
2017 Reports (Monthly),667827,December 2017 Issued Commercial Building Permits,B,2,,2018-01-03 23:36:27 UTC,2018-01-03 23:35:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/667827
2017 Reports (Monthly),667828,December 2017 Land Use Review Intakes,B,2,,2018-01-03 23:36:46 UTC,2018-01-03 23:36:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/667828
2017 Reports (Monthly),667829,December 2017 Facility Permit Intakes,B,2,,2018-01-03 23:36:57 UTC,2018-01-03 23:36:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/667829
2017 Reports (Monthly),667831,December 2017 Issued Facility Permits,B,2,,2018-01-03 23:37:13 UTC,2018-01-03 23:37:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/667831
2017 Reports (Monthly),667832,December 2017 Residential Permit Intakes,B,2,,2018-01-03 23:37:33 UTC,2018-01-03 23:37:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/667832
2017 Reports (Monthly),667833,December 2017  Issued Residential Permits,B,2,,2018-01-03 23:37:44 UTC,2018-01-03 23:37:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/667833
2018 Reports (Weekly),668311,"January 1, 2018 to January 7, 2018 Commercial Building Permit Intakes",B,2,,2018-01-08 20:05:41 UTC,2018-01-08 20:04:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/668311
2018 Reports (Weekly),668314,"January 1, 2018 to January 7, 2018 Land Use Review Intakes",B,2,,2018-01-08 20:07:18 UTC,2018-01-08 20:06:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/668314
2018 Reports (Weekly),668313,"January 1, 2018 to January 7, 2018 Issued Commercial Building Permits",B,2,,2018-01-08 20:06:26 UTC,2018-01-08 20:06:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/668313
2018 Reports (Weekly),668315,"January 1, 2018 to January 7, 2018 Facility Permit Intakes",B,2,,2018-01-08 20:07:52 UTC,2018-01-08 20:07:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/668315
2018 Reports (Weekly),668320,"January 1, 2018 to January 7, 2018 Issued Residential Permits",B,2,,2018-01-08 20:10:19 UTC,2018-01-08 20:09:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/668320
2018 Reports (Weekly),668319,"January 1, 2018 to January 7, 2018 Residential Permit Intakes",B,2,,2018-01-08 20:09:47 UTC,2018-01-08 20:09:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/668319
2018 Reports (Weekly),668317,"January 1, 2018 to January 7, 2018 Issued Facility Permits",B,2,,2018-01-08 20:09:23 UTC,2018-01-08 20:09:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/668317
2018 Reports (Weekly),669109,"January 8, 2018 to January 14, 2018 Commercial Building Permit Intakes",B,2,,2018-01-16 17:02:58 UTC,2018-01-16 17:00:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/669109
2018 Reports (Weekly),669110,"January 8, 2018 to January 14, 2018 Issued Commercial Building Permits",B,2,,2018-01-16 17:03:43 UTC,2018-01-16 17:03:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/669110
2018 Reports (Weekly),669115,"January 8, 2018 to January 14, 2018 Land Use Review Intakes",B,2,,2018-01-16 17:09:45 UTC,2018-01-16 17:09:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/669115
2018 Reports (Weekly),669161,"January 8, 2018 to January 14, 2018 Issued Facility Permits",B,2,,2018-01-16 18:01:15 UTC,2018-01-16 18:00:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/669161
2018 Reports (Weekly),669160,"January 8, 2018 to January 14, 2018 Facility Permit Intakes",B,2,,2018-01-16 18:00:46 UTC,2018-01-16 18:00:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/669160
2018 Reports (Weekly),669163,"January 8, 2018 to January 14, 2018 Issued Residential Permits",B,2,,2018-01-16 18:02:14 UTC,2018-01-16 18:01:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/669163
2018 Reports (Weekly),669162,"January 8, 2018 to January 14, 2018 Residential Permit Intakes",B,2,,2018-01-16 18:01:45 UTC,2018-01-16 18:01:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/669162
