id,chapter_id,number,text,name,url
1-01-010,1-01,010, ,1.01.010 Title - Citation - Reference.,/article/13234
1-01-020,1-01,020, ,1.01.020 Reference Applies to Amendments.,/article/13239
1-01-030,1-01,030, ,1.01.030 Codification Authority.,/article/13240
1-01-035,1-01,035, ,1.01.035  City Auditor to Specify the Form and Style of City Code Provisions.,/article/13242
1-01-037,1-01,037, ,1.01.037  Planning Director Authority to Correct Portland Comprehensive Plan and  Zoning Code Maps.,/article/248240
1-01-040,1-01,040, ,1.01.040 Definitions.,/article/13243
1-01-050,1-01,050, ,1.01.050 Grammatical Interpretation.,/article/13246
1-01-060,1-01,060, ,1.01.060 Construction.,/article/13247
1-01-070,1-01,070, ,"1.01.070 Title, Chapter, and Section Headings.",/article/13248
1-01-080,1-01,080, ,1.01.080 Reference to Specific Ordinances.,/article/13249
1-01-090,1-01,090, ,1.01.090 Effect of Code on Past Actions and Obligations.,/article/13250
1-01-100,1-01,100, ,1.01.100 Repeal Shall Not Revive Any Ordinances.,/article/13251
1-01-110,1-01,110, ,1.01.110 Repeal.,/article/13252
1-01-120,1-01,120, ,1.01.120 Exclusions.,/article/13253
1-01-130,1-01,130, ,1.01.130 Effective Date.,/article/13254
1-01-140,1-01,140, ,1.01.140 Violations - Penalty.,/article/13255
1-01-150,1-01,150, ,"1.01.150 Prohibited Acts Include Causing, Permitting, Etc.",/article/13256
1-01-160,1-01,160, ,1.01.160 Constitutionality.,/article/13257
1-01-170,1-01,170, ,1.01.170 Consistency With State Law Criminal Law.,/article/13258
1-03-010,1-03,010, ,1.03.010 Definitions.,/article/13259
1-03-020,1-03,020, ,1.03.020  Trust.,/article/13260
1-03-030,1-03,030, ,1.03.030 Objectivity.,/article/13262
1-03-040,1-03,040, ,1.03.040 Accountability.,/article/13263
1-03-050,1-03,050, ,1.03.050  Leadership.,/article/13264
1-04-010,1-04,010, ,1.04.010 Description.,/article/13266
1-06-010,1-06,010, ,1.06.010  Description.,/article/506584
1-06-020,1-06,020, ,1.06.020 Requirements for the Official Flag of the City When Displayed Outdoors from Pole or Staff and for Miniature Flags Wherever Displayed.,/article/13268
1-07-010,1-07,010, ,1.07.010 Purpose.,/article/13269
1-07-020,1-07,020, ,1.07.020 Definitions.,/article/13271
1-07-030,1-07,030, ,1.07.030 Creation of Portland Policy Documents repository.,/article/13274
1-07-040,1-07,040, ,1.07.040 Creation of Index.,/article/13279
1-07-050,1-07,050, ,1.07.050 Publication to the Internet.,/article/13280
1-07-060,1-07,060, ,1.07.060 Submission of Documents to Auditor for Filing in the PPD.,/article/13282
1-07-070,1-07,070, ,1.07.070 Format for PPD.,/article/13283
1-07-080,1-07,080, ,1.07.080 Status of PPD.,/article/13284
1-07-090,1-07,090, ,1.07.090 Other City Documents Not Affected.,/article/13285
1-08-010,1-08,010, ,1.08.010 Methods - Proof.,/article/13294
2-02-010,2-02,010, ,2.02.010 Definitions.,/article/13296
2-02-020,2-02,020, ,2.02.020 City Elections Officer.,/article/13297
2-02-030,2-02,030, ,2.02.030 Campaign Finance Regulations.,/article/13299
2-02-040,2-02,040, ,2.02.040 Applicability of State Law; Limitations.,/article/13300
2-02-050,2-02,050, ,2.02.050 Computation of Dates.,/article/13301
2-04-010,2-04,010, ,2.04.010 Definitions.,/article/13303
2-04-020,2-04,020, ,2.04.020 Applicability of State Law; Limitations.,/article/13304
2-04-030,2-04,030, ,2.04.030 Pre-election Publication.,/article/13305
2-04-040,2-04,040, ,2.04.040  Submission of Measures to Voters.,/article/374835
2-04-050,2-04,050, ,2.04.050 Prospective Petition.,/article/13308
2-04-055,2-04,055, ,2.04.055 One Subject Determination.,/article/13309
2-04-060,2-04,060, ,2.04.060 Ballot Title; Publication; Legal Effect.,/article/13310
2-04-070,2-04,070, ,2.04.070 Legal Challenge to Ballot Title.,/article/13311
2-04-080,2-04,080, ,2.04.080 Circulation of Petition.,/article/13312
2-04-090,2-04,090, ,"2.04.090 Filing Deadlines, Percentage Requirements and Signature Verification.",/article/13313
2-04-100,2-04,100, ,2.04.100	Council Action; Competing Measure and Certification.,/article/13314
2-04-110,2-04,110, ,2.04.110  Measures Proposed by the Charter Commission.,/article/374836
2-04-120,2-04,120, ,2.04.120 Measures Referred by the Council.,/article/13315
2-04-125,2-04,125, ,2.04.125 Advisory Questions Referred by Council.,/article/13317
2-04-130,2-04,130, ,2.04.130 Election Dates; Special Election.,/article/13318
2-04-140,2-04,140, ,2.04.140  Ballot Designations.,/article/374837
2-04-150,2-04,150, ,2.04.150 Computation of the Vote.,/article/13320
2-04-160,2-04,160, ,2.04.160 Effective Date.,/article/13321
2-04-170,2-04,170, ,2.04.170 Computation of Dates.,/article/13322
