name,number,title,url
Title 1 General Provisions,01,1,/citycode/28150
Title 2 Legislation & Elections,02,2,/citycode/28158
Title 3 Administration,03,3,/citycode/28168
Title 4 Original Art Murals,04,4,/citycode/28169
Title 5 Revenue and Finance,05,5,/citycode/28170
Title 6 Special Taxes,06,6,/citycode/28171
Title 7 Business Licenses,07,7,/citycode/28172
Title 8 Health and Sanitation,08,8,/citycode/28173
Title 9 Protected Sick Time,09,9,/citycode/28174
Title 10 Erosion and Sediment Control Regulations,10,10,/citycode/28175
Title 11 Trees,11,11,/citycode/66002
Title 12 (Repealed),12,12,/citycode/28176
Title 13 Animals,13,13,/citycode/28177
Title 14 Public Order and Police,14,14,/citycode/28178
Title 15 Emergency Code,15,15,/citycode/28179
Title 16 Vehicles and Traffic,16,16,/citycode/28180
Title 17 Public Improvements,17,17,/citycode/28181
Title 18 Noise Control,18,18,/citycode/28182
Title 19 Harbors,19,19,/citycode/28183
Title 20 Parks and Recreation,20,20,/citycode/28184
Title 21 Water,21,21,/citycode/28185
Title 22 Hearings Officer,22,22,/citycode/28186
Title 23 Civil Rights,23,23,/citycode/28187
Title 24 Building Regulations,24,24,/citycode/28188
Title 25 Plumbing Regulations,25,25,/citycode/28189
Title 26 Electrical Regulations,26,26,/citycode/28190
Title 27 Heating and Ventilating Regulations,27,27,/citycode/28191
Title 28 Floating Structures,28,28,/citycode/28192
Title 29 Property Maintenance Regulations,29,29,/citycode/28193
Title 30 Affordable Housing,30,30,/citycode/28194
Title 31 Fire Regulations,31,31,/citycode/28195
Title 32 Signs and Related Regulations,32,32,/citycode/28196
