lvl2,lvl3code,lvl3cate
Accounting,FIN,FIN-6.01 - Administrative Rules Development (Accounting)
Accounting,FIN,FIN-6.02 - Generally Accepted Accounting Principles (GAAP) Hierarchy
Accounting,FIN,FIN-6.03 - New Fund Establishment
Accounting,FIN,FIN-6.04 - Accounts Receivable (AR)
Accounting,FIN,FIN-6.05 - Clothing and Equipment Allowances and Reimbursements
Accounting,FIN,FIN-6.06 - Independent Contractors
Accounting,FIN,FIN-6.07 - Leases
Accounting,FIN,FIN-6.08 - Petty Cash and Change Accounts
Accounting,FIN,FIN-6.10 - Cash
Accounting,FIN,FIN-6.11 - Capital Assets
Accounting,FIN,FIN-6.12 - Disposal of Capital Assets
Accounting,FIN,FIN-6.13 - Overnight and Out-of-Town Travel
Accounting,FIN,"FIN-6.14 - Non-travel Meals, Light Refreshments and Related Miscellaneous Expenses"
Accounting,FIN,FIN-6.15 - Internal Controls and Management's Responsibility
Accounting,FIN,FIN-6.16 - Chart of Accounts
Administrative Services,ADM,ADM-1.01 - Purchasing Policies
Administrative Services,ADM,"ADM-1.05 - Professional, Technical and Expert Services Contracting Manual"
Administrative Services,ADM,ADM-1.08 - Purchasing Board of Appeals Rules of Procedure
Administrative Services,ADM,ADM-1.09 - Sustainable Procurement Policy
Administrative Services,ADM,"ADM-1.11 - Proposal to Increase Minority-Owned, Women-Owned and Emerging Small Business Utilization in Professional, Technical and Expert Contracting"
Administrative Services,ADM,ADM-1.12 - Biofuels Requirements for Petroleum-Based Fuels Sold in Portland and City-Owned Vehicles
Administrative Services,ADM,ADM-1.13 - Assigning Confidence Ratings to Project Cost Estimates
Administrative Services,ADM,"ADM-1.14 - Professional, Technical, and Expert Policy Documents Modification to Address Minority, Women, and Emerging Small Business Subcontractor Concerns and Public Notice Requirement of City Intent to Execute Sole Source PTE Contracts"
Administrative Services,ADM,ADM-1.15 - City Equal Benefit Requirements Expansion to Include Contract Amendments and Revenue Generating Contracts (Superseded)
Administrative Services,ADM,ADM-1.17 - Sweatshop Free Procurement Policy Administrative Rules
Administrative Services,ADM,ADM-1.18 - Minority Evaluator on Contractor Evaluation and Selection Panels
Administrative Services,ADM,"ADM-1.19 - Social Equity Contracting Strategy to Increase Minority-Owned, Women-Owned and Emerging Small Business Utilization in City Contracting"
Administrative Services,ADM,ADM-1.20 - Workforce Training & Hiring Program Administrative Rules
Administrative Services,ADM,ADM-1.21 - Prime Contractor Development Program Administrative Rules
Administrative Services,ADM,ADM-1.22 - Construction Prequalification Program Administrative Rules
Administrative Services,ADM,ADM-1.23 – Subcontractor Equity Program Administrative Rules
Administrative Services,ADM,ADM-1.24 - Community Equity and Inclusion Plan - City Public Improvement Contracts
Administrative Services,ADM,ADM-2.01 - Payment of Special Election Costs
Administrative Services,ADM,ADM-2.10 - Open and Accountable Elections Program Administrative Rules
Administrative Services,ADM,ADM-3.01 - Coordination of Government Relations
Administrative Services,ADM,"ADM-4.01 - Web-Based Inventory of Significant Policies, Programs & Projects"
Administrative Services,ADM,ADM-4.02 - Public Involvement Principles
Administrative Services,ADM,"ADM-4.03 - Standards for Neighborhood Associations, District Coalitions, Business District Associations and the Office of Neighborhood Involvement"
Administrative Services,ADM,ADM-4.04 - Citywide Web-Based Calendar
Administrative Services,ADM,ADM-4.05 - Guidelines for Public Involvement in Bureaus' Budget Advisory Committee Process
Administrative Services,ADM,"ADM-4.06 - Public Involvement Advisory Council (PIAC) 2013 Annual Report, Appointment of PIAC Members, and Direction to Carry Out Specific Activities"
Administrative Services,ADM,ADM-6.01 - Ombudsman�s Office Policies & Procedures
Administrative Services,ADM,"ADM-7.01 - Drafting Manual for Ordinances, Resolutions & Reports"
Administrative Services,ADM,ADM-7.02 - Council and Contracts Program Policies & Procedures
Administrative Services,ADM,ADM-7.03 - Council Documents Redaction / Non-Disclosure Policy
Administrative Services,ADM,ADM-8.01 - Preservation of Archival (Historical) Material
Administrative Services,ADM,"ADM-8.02 - Paper Size Standard - 8 1/2"" X 11"" (Letter Size)"
Administrative Services,ADM,ADM-8.03 - Public Records Requests
Administrative Services,ADM,ADM-8.04 - Transferring Records to the Archives and Records Center (PARC)
Administrative Services,ADM,ADM-8.05 - City Bureau Access to Records Stored at the Archives and Records Center (PARC)
Administrative Services,ADM,ADM-8.06 - Public Access to Records Stored at the Archives and Records Center (PARC)
Administrative Services,ADM,ADM-8.07 - Standards for Storing City Records
Administrative Services,ADM,ADM-8.08 - Microfilm
Administrative Services,ADM,ADM-8.09 - Destruction of Records
Administrative Services,ADM,ADM-8.10 - Preparing City Record Retention Schedules
Administrative Services,ADM,ADM-8.11 - Identification of Bureau Vital Records
Administrative Services,ADM,"ADM-8.12 - Management, Preservation and Storage of Electronic Records and Electronic Mail Correspondence (E-Mail)"
Administrative Services,ADM,ADM-8.13 - Micrographic and Digital Imaging Conversion Policies
Administrative Services,ADM,ADM-8.14 - Scanning Standards for Bureau Records
Administrative Services,ADM,ADM-9.01 - Code Hearings Officer Rules
Administrative Services,ADM,ADM-9.02 - Land Use Hearings Procedures
Administrative Services,ADM,ADM-9.03 - Tow Appeal Hearing Rules and Regulations Before the Hearings Officer of the City of Portland
Administrative Services,ADM,ADM-9.05 - Appeals to the City Code Hearings Officer
Administrative Services,ADM,ARA-9.06 - Filing Fee for Appeal Hearings
Administrative Services,ADM,ADM-10.01 - Visual Markings for City Vehicles
Administrative Services,ADM,ADM-11.01 - Loss Prevention Policy
Administrative Services,ADM,ADM-11.02 - Risk Management Letter of Credit/Limited General Obligation Bond Policy
Administrative Services,ADM,ADM-12.01 - Official City Seal
Administrative Services,ADM,ADM-13.01 - Bureaus to Locate Operations in City Owned Facilities
Administrative Services,ADM,ADM-13.02 - Disposition of City Real Property
Administrative Services,ADM,ADM-13.03 - All-User Restrooms
Administrative Services,ADM,ADM-13.04 - Additional Rule of Conduct Applicable to Identified City Property
Administrative Services,ADM,ADM-14.01 - Account Management Policy
Administrative Services,ADM,"ADM-14.02 - Water, Sewer, and/or Stormwater Billing Appeal Policy"
