CATEGORY_NAME,CONTENT_ID,DEPTH,END_DATE,EVENT_NAME,EVENT_TYPE_NAME,EXPIRE_DATE,LAST_UPDATED_DATE,LENGTH,LOCATION,PUBLISH_DATE,START_DATE,STATUS,SUMMARY_TEXT,TEXT,URL,NEIGHBORHOOD
North Events,641751,2,2021-05-12 03:00:00 UTC,Bridgeton Neighborhood Association,Neighborhood/Business Association Meeting,,2019-09-04 21:24:33 UTC,,Courtyard Marriott Board Room 1231 N. Anchor Way,2021-02-04 21:02:00 UTC,2021-05-12 01:30:00 UTC,A,,,https://www.portlandoregon.gov/civic/article/641751,Bridgeton
SE Events,755509,2,2021-05-12 03:00:00 UTC,Reed NA Meeting,Meetings,,2020-03-04 23:11:28 UTC,,Reed College Performing Arts Building - 3203 SE Woodstock Boulevard,,2021-05-12 01:30:00 UTC,A,,,https://www.portlandoregon.gov/civic/article/755509,Reed
Central NE Events,780526,2,2021-05-12 03:00:00 UTC,Sumner Association of Neighbors (SAN) Board Meeting,Neighborhood/Business Association Meeting,,2021-01-28 21:34:14 UTC,,4415 NE 87th Ave,2021-01-27 23:09:00 UTC,2021-05-12 01:30:00 UTC,A,,,https://www.portlandoregon.gov/civic/article/780526,Sumner
SW Events,766876,2,2021-05-12 03:00:00 UTC,Multnomah Neighborhood Association,Neighborhood/Business Association Meeting,,2020-10-05 19:49:53 UTC,,Virtual - see swni.org/calendar for details,,2021-05-12 02:00:00 UTC,A,"Contact Maria Thi Mai, multnomah-president@swni.org.  Website: multnomah.swni.org",,https://www.portlandoregon.gov/civic/article/766876,Multnomah
Central NE Events,780772,2,2021-05-12 04:00:00 UTC,Cully Association of Neighbors (CAN) General Meeting,Neighborhood/Business Association Meeting,,2021-02-01 21:45:45 UTC,,,2021-02-01 21:45:00 UTC,2021-05-12 02:00:00 UTC,A,,,https://www.portlandoregon.gov/civic/article/780772,Cully
SW Events,781717,2,2021-05-12 03:00:00 UTC,Arnold Creek Neighborhood Association,Neighborhood/Business Association Meeting,,2021-04-06 14:28:35 UTC,,Virtual - see arnoldcreek.org for details,2021-04-06 14:28:35 UTC,2021-05-12 02:00:00 UTC,A,"Contact Kathryn Daly and Sharon Keast, president@arnoldcreek.org. Website: arnoldcreek.org",,https://www.portlandoregon.gov/civic/article/781717,Arnold Creek
NW and Inner SW Events,778808,2,2021-05-12 20:00:00 UTC,Old Town Community Association Board Meeting,Neighborhood/Business Association Meeting,,2020-11-25 02:53:55 UTC,,,2020-11-25 02:53:55 UTC,2021-05-12 18:30:00 UTC,A,,<p>contact for meeting access chair@PDXoldtown.org&nbsp;</p>,https://www.portlandoregon.gov/civic/article/778808,Old Town
SE Events,755549,2,2021-05-13 03:30:00 UTC,Brooklyn Actions Corps General Meeting,Community Events,,2020-03-04 23:18:34 UTC,,Thelma Skelton Meals on Wheels Center 3925 Southeast Milwaukie Avenue,,2021-05-13 01:30:00 UTC,A,,"<p>Board meetings:The Brooklyn Action Corps Board meets on the second Wednesday of every month at 6:30 PM, Thelma Skelton Meals on Wheels Center 3925 Southeast Milwaukie Avenue</p>
<p>General Meetings: The Brooklyn Action Corps meets on the fourth Wednesday of odd months at 7 PM, Thelma Skelton Meals on Wheels Center 3925 Southeast Milwaukie Avenue</p>",https://www.portlandoregon.gov/civic/article/755549,Brooklyn
SW Events,767979,2,2021-05-13 03:30:00 UTC,Bridlemile Neighborhood Association,Neighborhood/Business Association Meeting,,2020-11-01 23:22:35 UTC,,Virtual - see swni.org/calendar for details,,2021-05-13 02:00:00 UTC,A,"Contact Richard Freimark, bridlemile-president@swni.org. Website: bridlemile.swni.org",,https://www.portlandoregon.gov/civic/article/767979,Bridlemile
SW Events,779827,2,2021-05-13 03:00:00 UTC,Crestwood Neighborhood Association,Neighborhood/Business Association Meeting,,2021-01-04 19:21:56 UTC,,Virtual - see swni.org/calendar for details,,2021-05-13 02:00:00 UTC,A,Contact: contact-crestwood@swni.org,,https://www.portlandoregon.gov/civic/article/779827,Crestwood
