neighborhood_id,neighborhood_name,new_neighborhood_name,website_url,correspondence_to,meeting_time,meeting_location,board_time,board_location,landuse_time,landuse_location
1,Alameda Neighborhood Association,Alameda,http://www.alamedaportland.com,"Land Use/Demolition notices to: stevebacker@gmail.com 2844 NE 25th Ave, Portland, OR 97212 ","2nd Mondays of the month,  7-8:30 pm ",Check website for online or in meeting person meetings.   ,"7:00-8:30 PM, Meets 2nd Monday of the month ","Check website for up to date locations/ meeting links Fremont United Methodist Church, 2620 NE Fremont St ",,
2,Arbor Lodge Neighborhood Association,Arbor Lodge,https://www.facebook.com/ArborLodgeNeighborhoodAssociation,"Arbor Lodge Neighborhood Association, c/o North Portland Neighborhood Services, 2209 N Schofield, Portland, OR 97217 ","7:00-8:30 PM 3rd Thursday of every month. Elections held in October. Board and general at same meeting  Kenton Firehouse 8105 N. Brandon Ave, Portland, OR 97217 ","Kenton Firehouse, 8105 N. Brandon Ave, Portland, OR 97217 or Zoom, check website for details",. , ,,
3,Ardenwald-Johnson Creek Neighborhood Association,Ardenwald-Johnson Creek,http://www.ardenwald.org,"Ardenwald-Johnson Creek Neighborhood Association, c/o Southeast Uplift Neighborhood Program, 3534  SE Main St, Portland, OR 97214 ","6:30 PM, 2nd Tuesday of the month, except no meetings in July or August. Elections held in May.","Milwaukie Grind, 9401 SE 32nd Ave., Milwaukie",,,,
4,Argay Terrace Neighborhood Association,Argay,http://argayterrace.org,"PO Box 20635, Portland 97294","6:30 pm, 3rd Tuesday in October ","Portland Fire Station Training Center, 4800 NE 122nd Ave","6:30 pm, 3rd Tuesdays of all months except October. ","Portland Fire Station Training Center, 4800 NE 122nd",,
5,Arlington Heights Neighborhood Association,Arlington Heights,http://www.arlingtonheightspdx.org,"Arlington Heights Neighborhood Association, c/o Neighbors West/Northwest, 2257 NW Raleigh St, Portland, OR 97210  board@arlingtonheightspdx.org  ",Each September; elections held at that time.  Call 503-823-4288 for details. ,"Hoyt Arboretum, Visitor Center, 4000 SW Fairview Blvd. ","6:00 PM, 2nd Monday of the month. ","Hoyt Arboretum, Visitor Center, 4000 SW Fairview Blvd. ",,
6,Arnold Creek Neighborhood Association,Arnold Creek,https://arnoldcreek.org,contact@arnoldcreek.org ,Annual Meeting with Elections is held on the 2nd Tuesday in February at 7pm. ,Check website to confirm meeting location. ,"The Board meets on the 2nd Tuesday at 7pm, except July and August. ",Check website to confirm meeting location. ,,
7,Ashcreek Neighborhood Association,Ashcreek,http://www.ashcreekna.org,"Ashcreek Neighborhood Association, c/o Southwest Neighborhoods Inc, 7688 SW Capitol Hwy, Portland, OR 97219",Meetings:  2nd Monday of the month.  Elections held in April.  Time:  7:00 PM ,"Multnomah Center, Room 30 7688 SW Capitol Hwy Portland, Oregon ",,,,
8,Beaumont-Wilshire Neighborhood Association,Beaumont-Wilshire,https://www.bwnapdx.org,"Beaumont-Wilshire Neighborhood Assocation, c/o The Postal Station, 2000 NE 42nd Ave., Suite D, #394, Portland, OR 97213-1397 ","7 PM, 2nd Monday of even numbered months, except for August. August meeting is the Neighborhood Night Out Picnic in Wilshire Park on first Tuesday of August. Elections held at April meeting.","Bethany Lutheran Church, 4330 NE 37th Ave  During the current pandemic, our meetings are held virtually on Zoom. Please see our website for more information: www.bwnapdx.org ","7 PM, 2nd Monday of odd numbered months.","Bethany Lutheran Church, 4330 NE 37th Ave.",,
9,Boise Neighborhood Association,Boise,http://bnapdx.com/,"BNA GENERAL MAILBOX: boisena@gmail.com  PERMANENT MAILING ADDRESS:   Boise Neighborhood Association c/o Kay Newell of Sunlan Lighting 3901 N. Mississippi Ave, Portland, OR 97227 ","7-9 pm, 2nd Monday of the month.  Elections held in June.  ","Q Center 4115 N Mississippi Ave.  Portland, OR 97217 ",Board meetings are held as needed earlier in the evening on the same night as the General Meeting. ,"Q Center 4115 N Mississippi Ave.  Portland, OR 97217 ",4th Mondays of the month but not in August,Q Center 4115 N Mississippi Ave 
10,Brentwood-Darlington Neighborhood Association,Brentwood-Darlington,http://www.brentwood-darlington.org,"Brentwood Darlington Community Center 7211 SE 62nd Ave. Portland, OR 97206  email: brentwood.darlington@gmail.com ","7 PM, 1st Thursday of the month. Board elections in May","Brentwood-Darlington Community Center, 7211 SE 62nd Ave ",,,,
11,Bridgeton Neighborhood Association,Bridgeton,http://www.bridgetonpdx.com,"340 NE Bridgeton Rd Portland, Oregon 97211 ",  Elections held in the fall. ,"Portland Yacht Club 1241 NE Marine Drive Portland, OR 97211 or on Zoom, check website",,,,
