PropertyID,Amenity
1,paths (unpaved)|picnic table
2,dog off-leash area
5,dog off-leash area fenced
8,public garden|gift shop
9,community garden
10,accessible restroom|basketball court|accessible play area|paths - paved|picnic table|playground|soccer field|softball field|tennis court|Earthquake communication node (BEECN – Basic Earthquake Emergency Communication Node)
11,community garden
12,accessible picnic area|accessible restroom|basketball court|paths - paved|tennis court|volleyball court|softball field|picnic site|statue or public art|playground|picnic table|Earthquake communication node (BEECN – Basic Earthquake Emergency Communication Node)|tennis backboard|picnic shelter|splash pad
15,arboretum|natural area
17,paths - paved|baseball field|accessible play area|accessible restroom|accessible picnic area|picnic table|playground|soccer field|picnic site|softball field|volleyball court|horseshoe pit|tennis court|tennis court - lighted|splash pad|picnic shelter
21,stage - indoor|community center|accessible restroom|historical site|meeting room
22,natural area|riverfront views
23,plaza|dog off-leash area|paths - paved|accessible restroom|accessible play area|basketball court|statue or public art|playground
24,picnic table|paths - unpaved|statue or public art|vista point|paths - paved|dog off-leash area|plaza|wedding site
25,tennis backboard|dog off-leash area|paths - paved|accessible play area|accessible restroom|accessible picnic area|horseshoe pit|softball field|picnic site|picnic table|playground
27,paths - unpaved|visitor attraction|tours - guided|accessible restroom|paths - paved|fountain|public garden|wedding site
28,community garden
31,accessible restroom|accessible play area|paths - paved|softball field|playground|soccer field
33,playground|picnic table|picnic site|statue or public art|stage - outdoor|volleyball court|paths - paved|accessible play area|basketball court|accessible restroom|splash pad|picnic shelter|barbeque—first come - first served
34,synthetic turf|dog off-leash area - fenced|paths - paved|football field|volleyball court|softball field|picnic table|playground|soccer field
37,playground|picnic table|paths - paved|accessible restroom|basketball court|baseball field
38,picnic table|playground
39,playground|natural area
44,public garden|paths - paved|accessible restroom|soccer field|picnic table|horseshoe pit|track|synthetic turf
45,community garden
48,picnic table|paths - unpaved|soccer field|playground
49,playground|soccer field|paths - unpaved|picnic table|tennis court|softball field|accessible restroom|basketball court|accessible play area|paths - paved|dog off-leash area|Earthquake communication node (BEECN – Basic Earthquake Emergency Communication Node)
50,plaza|fountain|historical site|statue or public art
51,softball field|picnic table|paths - unpaved|soccer field|playground|paths - paved|accessible play area
