PropertyId,PolPdfsId,Description,AltTagText,DateUpdated,FileName
2,1784,,,2013-01-14 12:29:53.000,Cherry OLA Map-Hours.pdf
5,1785,,,2013-01-14 12:30:05.000,Chimney OLA Map-Hours.pdf
9,1852,Plot Map,Clinton Community Garden plot map,2018-03-22 11:51:02.000,Clinton Community Garden.pdf
11,1853,Plot Map,Colonel Summers Community Garden plot map,2018-04-11 14:35:08.000,Colonel Summers Community Garden.pdf
15,1731,,,2012-10-01 10:47:23.000,Columbia Arboretum Management Plan 2004.pdf
24,1787,,,2013-01-14 12:30:37.000,Council Crest OLA Map-Hours.pdf
25,1788,,,2013-01-14 12:30:52.000,Creston OLA Map-Hours.pdf
27,1901,,,2018-01-11 10:22:27.000,PPR_CrystalSprings_brochure_2018_FINAL_web.pdf
28,1854,Plot Map,Cully Community Garden plot map,2018-04-11 14:35:28.000,Cully Community Garden.pdf
34,170,,,2013-01-14 12:33:35.000,Delta OLA Map-Hours.pdf
44,1931,,,2019-07-22 13:56:29.000,PPR_ParkAreaMap_DuniwayPark_SportsField.pdf
45,1840,Plot Map,Adams Community Garden plot map,2018-03-19 17:12:51.000,Adams Community Garden.pdf
49,1779,,,2013-01-14 12:28:19.000,Alberta OLA Map-Hours.pdf
51,1258,,,2010-11-12 15:57:17.000,April Hill Habitat Management and Trail Plan 2010.
52,1780,,,2013-01-14 12:28:47.000,Arbor Lodge OLA Map-Hours.pdf
53,1781,,,2013-01-14 12:29:10.000,Argay OLA Map-Hours.pdf
58,1842,Plot Map,Berrydale Community Garden plot map,2018-03-19 17:13:20.000,Berrydale Community Garden.pdf
60,1843,Plot Map,Blair Community Garden plot map,2019-01-23 13:40:37.000,Blair Community Garden Map.pdf
63,1782,,,2013-01-14 12:29:25.000,Brentwood OLA Map-Hours.pdf
89,1848,Plot Map,Buckman Community Garden plot map,2019-01-23 13:40:55.000,Buckman Community Garden Map.pdf
97,1783,,,2013-01-14 12:29:39.000,Cathedral OLA Map-Hours.pdf
97,1929,,Cathedral Park area map,2019-07-22 13:54:22.000,PPR_ParkAreaMap_CathedralPark.pdf
117,1857,Plot Map,Everett Community Garden plot map,2018-04-11 14:36:43.000,Everett Community Garden.pdf
120,1790,,,2013-01-14 12:34:19.000,Fernhill OLA Map-Hours.pdf
127,1823,,,2014-04-15 17:06:26.000,Forest Park Trailheads.pdf
127,1837,"Hike Forest Park - trails, trailheads, restrooms, parking access, and hiking distances.",,2014-07-18 14:46:39.000,Forest Park Trails Printable Map.pdf
130,1791,,,2013-01-14 12:34:35.000,Frazer OLA Map-Hours.pdf
132,1860,Plot Map,Fulton Community Garden plot map,2019-07-01 13:08:58.000,Fulton Community Garden & Display Garden.pdf
135,1862,Plot Map,Gabriel Community Garden plot map,2018-04-11 14:37:42.000,Gabriel Community Garden.pdf
136,1792,,,2013-01-14 12:34:56.000,Gabriel OLA Map-Hours.pdf
147,1050,,,2010-02-05 17:45:18.000,George Himes Trail System.pdf
156,328,,Master Plan,2006-07-13 16:53:32.000,Waterfront Park Master Plan.pdf
183,1813,,,2013-08-05 14:11:03.000,Hillsdale OLA MapHours.pdf
189,1824,,,2014-04-22 18:14:12.000,Hoyt Arboretum Trail Map.pdf
195,1795,,,2013-01-14 12:35:58.000,Irving OLA Map-Hours.pdf
197,1867,Plot Map,Ivon Community Garden plot map,2019-07-01 13:08:27.000,Ivon Community Garden.pdf
203,1868,Plot Map,Johns South Community Garden plot map,2019-02-28 17:24:03.000,Johns South Community Garden map.pdf
203,1899,Plot Map,Johns North Community Garden plot map,2019-02-28 17:24:07.000,Johns North Community Garden map.pdf
214,1869,Plot Map,Kennedy Community Garden plot map,2018-04-11 14:41:16.000,Kennedy Community Garden.pdf
224,1796,,,2013-01-14 12:36:20.000,Laurelhurst OLA Map-Hours.pdf
224,1933,,,2019-07-22 13:57:27.000,PPR_ParkAreaMap_LaurelhurstPark.pdf
231,1871,Plot Map,Lents Community Garden plot map,2019-02-13 17:22:36.000,Lents Community Garden map.pdf
234,1797,,,2013-01-14 12:36:31.000,Lents OLA Map-Hours.pdf
238,1898,,,2015-08-25 12:51:46.000,Faubion-Albina-Park-Flier.pdf
245,1798,,,2013-01-14 12:36:50.000,Lynchwood OLA Map-Hours.pdf
268,1934,,,2019-07-22 13:57:49.000,PPR_ParkAreaMap_MontavillaPark.pdf
275,1712,,,2012-08-24 10:38:15.000,Mt Tabor Park Trail Map.pdf
275,1799,,,2013-01-14 12:37:12.000,Mt Tabor OLA Map-Hours.pdf
444,1800,,,2013-01-14 12:37:24.000,Normandale OLA Map-Hours.pdf
497,1801,,,2013-01-14 12:37:47.000,Overlook OLA Map-Hours.pdf
524,1802,,,2013-01-14 12:38:05.000,PIR OLA Map-Hours.pdf
528,1904,with trail map!,Powell Butte Nature Park Brochure and Trail Map,2016-06-07 16:34:50.000,Powell Butte Nature Park Brochure.pdf
578,1882,Plot Map,Sabin Community Garden plot map,2019-02-28 17:24:41.000,Sabin Community Garden map.pdf
580,1803,,,2013-01-14 12:38:20.000,Sacajawea OLA Map-Hours.pdf
