PropertyID,NewPropertyID,Property,Address,YearAcquired,OwnedAcres,PolParkFinder,Zip,SubArea,SpecialInfo,ProgramInfo,HistoricalInfo,Phone,AltProperty,PayToPark,Facebook,ActivityCatalog,ConstantContact,latitude,longitude
1,1,Cherry Blossom Park,SE 98th Avenue and Stephens Street,1995,0.95590541,1,97216,OE,Park hours: 5:00am-midnight,,,,Cherry Blossom Park,,,,,45.50915,-122.561991
2,2,Cherry Park,SE 110th Avenue and Stephens Street,1985,10.22776377,1,97216,OE,Park hours: 5:00am-midnight,,,,Cherry Park,,,,,45.509012,-122.550965
5,5,Chimney Park,9360 N Columbia Blvd,1932,18.38545359,1,97203,N,Park hours: 5:00am-midnight,,"Chimney Park was once the site of the city's incinerator. The park acquired its name from the incinerator's chimney, which has since been removed. <p>",,Chimney Park,,http://www.CMCpdxcom/PortlandDogParks,,,45.606702,-122.758531
8,8,Lan Su Chinese Garden,NW 3rd Avenue and Everett Street,2000,1.02961546,1,97209,CC/NW,"Go to <a href=""http://www.portlandchinesegarden.org/"" target=""_blank"">www.portlandchinesegarden.org</a> for visitor information. <p>",,,5032288131,Lan Su Chinese Garden,,,,,45.525659,-122.673017
9,9,Clinton Community Garden,SE 18th Avenue and Clinton Street,1994,0.41879696,1,97214,SE,,,"In 1994, the City of Portland, in collaboration with the Hosford-Abernethy Neighborhood Association, turned this residential property into a thriving community garden. Cabinets from the house which once stood on the property remain in the garden's toolshed, and a 75-year-old fig tree stands in the garden's native habitat area. <p>",5038231612,Clinton Community Garden,,PDXcommunitygardens,,,45.503805,-122.647402
10,10,Clinton Park,SE 55th Avenue and Woodward Street,1948,12.13807179,1,97206,SE,"Park hours: 5:00am-midnight To reserve a sports field, call 503-823-2525.  <b>BEECN - A Basic Earthquake Emergency Communication Node</b> (pronounced beacon) is a place to go in Portland after a major earthquake to ask for emergency assistance if phone service is down, or report severe damage or injury. <a href=""https://www.portlandoregon.gov/pbem/59630""target=""_blank"">More information here.</a>  <b>Accessibility Information</b>  <i>Parking</i> - Street parking - 1 designated parking space - Paved pathway to play area - 100 feet to play area  <i>Play Area</i> - Engineered mulch surface - Rubberized surface for merry-go-round - Ramp into play area  <i>Play Equipment</i> - Transfer station - Sensory play elements - Adapted high-back swing  <i>Other Amenities</i> - Accessible restroom",,"Clinton Park is named after Clinton Street which abuts the park. Clinton Street is named for a popular pioneer minister, the Rev. Clinton Kelly. Kelly's brother, the Rev. Albert Kelly, has a park in southwest Portland as his namesake (Albert Kelly Park). <p>",,Clinton Park,,,,,45.50302,-122.60497
11,11,Colonel Summers Community Garden,SE 20th Avenue and Taylor Street,1975,0.77620542,1,97214,SE,,,,5038231612,Colonel Summers Community Garden,,PDXcommunitygardens,,,45.515526,-122.645971
12,12,Colonel Summers Park,SE 17th Avenue and Taylor Street,1921,5.99259115,1,97214,SE,"Park hours: 5:00am-10:00pm  This park has a splash pad - <a href=""https://www.portlandoregon.gov/parks/article/578662""  target=""_blank"">click here for hours and more information</a>.  To reserve a sports field or picnic area, please call 503-823-2525. <a href=""http://www.portlandonline.com/parks/index.cfm?c=38301""  target=""_blank"">Picnic Site Maps and Info</a>  <b>BEECN - A Basic Earthquake Emergency Communication Node</b> (pronounced beacon) is a place to go in Portland after a major earthquake to ask for emergency assistance if phone service is down, or report severe damage or injury. <a href=""https://www.portlandoregon.gov/pbem/59630""target=""_blank"">More information here.</a>",,"Originally called Belmont Park, this site was renamed in 1938 in honor of Colonel Owen Summers, a former member of the Oregon Legislature. Summers was the commanding officer of the Second Oregon Volunteers Regiment in the Spanish-American War. He also introduced the bill which later created the Oregon National Guard.  In the southwest corner of this park there is a huge rock, which came from Kelly Butte. This rock holds a bas relief image of Colonel Summers on a bronze plaque.  In 2002, an inventory and assessment of wading pools in Portland parks was completed. Based on those recommendations, as well as input from maintenance and planning staff, PP&R identified 17 wading pools for replacement and seven for elimination. The wading pool at Colonel Summers Park was closed for health and safety reasons, as required by State of Oregon regulations, after the summer of 2009.  In 2017, Colonel Summers received several major improvements. A decorative picnic shelter enclosure and new splash pad was installed thanks to System Development Charge funds. Funding from the 2014 Parks Replacement Bond provided a Portland Loo and removal of ADA barriers on the pathway from SE Taylor Street to the picnic shelter.",,Colonel Summers Park,,,,,45.515665,-122.646979
15,15,Columbia Childrens Arboretum,10040 NE 6th Drive,1999,27.17813782,1,97211,NE,,,"In 1900, the area along the Columbia River northeast of Portland was primarily farmland. It flooded every spring with heavy rainfall and melting mountain snows. In the dry summer and fall, water remained in shallow lakes and narrow sloughs. The land between the waterways formed great meadows surrounded by massive cottonwoods and other riparian plants.  John Charles Olmsted looked at this land with foresight. Although most considered it valueless for any other purpose than farming, he proposed acquiring a large acreage in the Columbia Slough region for future parkland. He wrote about the potential of this landscape as a contrast to the hills and river frontages in other parts of town to provide "". . . great stretches of meadow land bordered and diversified by groves of trees. No other form of park has ever proved so attractive and so useful to the masses of the people as the meadow park, particularly when there can be associated with it long reaches of still water as a landscape attraction and for boating purposes.""  Olmsted proposed that Columbia Slough Park would not only provide still waters for boaters unsure of the Willamette River's strong currents, but also broad meadows for recreation such as picnicking, strolling, fast driving, horse racing (as long as gambling could be prevented), and golfing if it should retain its popularity. He suggested that the City secure hundreds to several thousand acres while this land remained inexpensive because of its regular flooding and its great distance from city development.  The land Olmsted proposed for Columbia Slough Park surrounds Switzler’s Lake. Much of this land was farmed by a family named Delminico in the early 20th century. Along with other farmers in the area, they built the original levees between 1917-1919 to reduce yearly flooding from the river. By 1920, enough families had moved into the area that an educational facility was needed for the neighborhood children. Columbia School District #33 was organized and land was purchased for a grade school and high school along NE Sixth Ave. An elementary school was built on the property located at the corner of NE  Sixth and Marine Dr. The high school property one block west, which was never developed, is now the Columbia Children’s Arboretum. The Columbia School District was annexed by Faloma District #33 in 1935, then reorganized as Columbia District #33 again in 1944. Portland Public Schools finally annexed the land and school in 1964.  When Portland School District acquired Columbia School, it was designated as a middle school. The local youth who attended the school were primarily a very transient population, well below the city average in both education achievement and economic levels. In a goal to strengthen the basic curriculum through science-centered projects, Principal Bill Warner proposed a new program titled Growth through Research, Organization & Work (GROW). Students studied math, language arts, social studies, health, and science as they worked on the 28-acre site that became known as the Columbia Children’s Arboretum.  The land started out as a tangle of blackberries in 1965, but by 1970, students and families had planted 8,000 trees. Students began by planning three different scenarios for the development of the land. An orchard and organic garden was chosen for the area adjacent to NE Sixth Ave. An arboretum was designed for the land on the south side of the drainage ditch with intentions to solicit and plant trees from every U.S. state. The area furthest from Sixth Ave was planned as a natural area where indigenous plants and animals could provide a tranquil setting for study.  Before long, the creation of a garden and arboretum became a community project. Organizations of all sorts began to help the school create its dream. Edward Maddix, a Tigard architect provided construction drawings for the site. Students and staff approached the U.S. Marines for assistance with heavy land moving. Bulldozers were brought in to remove the blackberries and create a pond with an island. The Oregon Association of Nurserymen supplied trees, the Rose Society donated roses for the garden, the pond was stocked with fish by the U.S. Fish and Wildlife, the Rotary Club provided tree labels, and the list goes on. The architect worked with students to design a study shelter that was adopted by Women in Construction. Remnants of the beginning of the shelter still remain, although its construction was limited by the fact that utilities could not be brought to the site.  In 1977, Portland Public Schools built a bus barn on the site of the organic farm area. Eventually, changing demographics in northeast Portland reduced the need for Columbia Middle School, and it closed in 1983. Classes at Whitaker School, located three miles from the arboretum, adopted the GROW program in the 1980s and planting increased. However, the distance between the school and Arboretum became a problem and the program only lasted until the early 1990s. A few classrooms around the district continued to use the Arboretum for field trips. The most constant visitors were neighbors from the new housing developments on the east side of the Arboretum. The neighborhood association created a Columbia Children’s Arboretum Preservation Committee to develop goals and activities in the Arboretum. It has sponsored work parties on a monthly basis for over 10 years. In addition, the committee funded aspects of the East Columbia Wetlands Management Plan to include plans for the Arboretum site. The very first Natural Resources Management Plan in the city, it has guided development and promoted the environmental activities for the Arboretum and adjacent areas since 1988.  In 1999, Portland Parks & Recreation acquired the Columbia Children’s Arboretum land from Portland Public Schools for use as a park. Working closely with the community, a management plan for the site was developed in March 2004. <p>",,Columbia Children's Arboretum,,,,,45.593718,-122.659268
17,17,Columbia Park,N Lombard Street and Woolsey Avenue,1891,35.36862506,1,97203,N,"Park hours: 5:00am-midnight  This park has a splash pad - <a href=""https://www.portlandoregon.gov/parks/article/578662""  target=""_blank"">click here for hours and more information</a>.  To reserve a sports field or picnic area, call 503-823-2525. <a href=""http://www.portlandonline.com/parks/index.cfm?c=38301""  target=""_blank"">Picnic Site Maps and Info</a>  For rental info on Columbia Cottage, visit the website at <a href=""http://www.focp.org"" target=""_blank"">Friends of Columbia Park</a>",,"In 1891, the City of Albina bought a tract of wooded land to be used for Albina's first park, however, it wasn't developed until after Albina consolidated with the City of Portland. In 1909, G.H. Hoch, the head gardener for Washington Park, oversaw the design work for Columbia Park. He patterned the park after a famous park in Berlin, Germany.  Columbia Cottage was built in 1940 and has served as a field house, dance hall, and National Guard command center. In 1989, when the city wanted to build a parking lot for Columbia Pool, the neighborhood banded together and saved the magical cottage. The cottage is operated by the Friends of Columbia Park. <p>",,Columbia Park and Annex,,,,,45.578971,-122.711207
