CATEGORY_NAME,CONTENT_ID,CONTENT_NAME,DEPTH,EXPIRE_DATE,LAST_UPDATED_DATE,PUBLISH_DATE,STATUS,SUMMARY_TEXT,TEXT,URL
News,514230,Traffic Advisory: Street improvements to close lanes on SW Madison Street next to City Hall Jan. 12-19,1,,2015-01-15 20:35:25 UTC,2015-01-05 22:14:00 UTC,A,,"<p><em>Update: the lane closures will be extended through mid-day January 20, and there will be no parking on SW Madison Street until all lanes reopen. &nbsp; This extension became necessary after crews unexpectedly needed to replace a storm drain and some sewer pipe. &nbsp;</em></p>
<p>(January 5, 2015) - The City of Portland Bureau of Transportation&nbsp;advises the traveling public that street improvements will close the right eastbound lanes and bus stop on SW Madison Street between SW Fourth and Fifth avenues next to City Hall for seven days in early January.&nbsp;</p>
<p>&nbsp;Lane closures will be in effect all hours and all days from Monday, January 12 through Monday, January 19, 2015.&nbsp;&nbsp;</p>
<p>&nbsp;The lane closures are necessary to allow crews to repair the failed road base at the southwest corner bus stop and replace the asphalt with a stronger concrete surface. The concrete will need up to five days to cure.&nbsp;</p>
<p>&nbsp;In addition to carrying traffic within downtown, the street feeds motor vehicle, bus and bicycle traffic onto the Hawthorne Bridge.&nbsp; Travelers are advised to expect delays and use alternate routes if possible.</p>
<p>&nbsp;<strong>Transit customers</strong>: During the project, the bus stop will be closed. The nearest alternate bus stops are on the transit mall and on SW Madison Street and First Avenue.</p>
<p>&nbsp;<strong>Drivers and bicycles</strong>: The parking lane on SW Madison Street will be converted into a travel lane and will be the sole travel lane for at least the first two days of the project. Crews will open up the center lane if possible during the latter part of the project.&nbsp;&nbsp;</p>
<p>To minimize delays, work crews will adjust the lane closures if possible as follows:</p>
<ul>
<li>After 3 p.m. and before 7 a.m., when crews are not at work, PBOT crews will widen the traveling lanes so bicycle riders can ride adjacent to motor vehicles instead of sharing one lane. &nbsp;During other hours, all vehicles will share the one travel lane.</li>
<li>Once the concrete bus pad is poured and while it is curing, crews will plan to open a second lane for the traveling public. &nbsp;</li>
</ul>
<p>&nbsp;In addition, parking will be removed from SW 4<sup>th</sup> Avenue in front of City Hall. &nbsp;Disabled parking will remain open for use on that block.</p>
<p>&nbsp;We ask the public to travel cautiously, observe all work zone signage, and use alternate routes if possible.&nbsp; This work is weather-dependent and the schedule may change.</p>
<p>&nbsp;</p>
<p>###</p>
<p>Contact: Diane Dulken 503-823-5552 <a href=""mailto:diane.dulken@portlandoregon.gov"">diane.dulken@portlandoregon.gov</a></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>",https://www.portlandoregon.gov/transportation/article/514230
News,514410,7 Tips for preventing bike theft,1,,2015-02-26 22:06:51 UTC,2015-01-07 22:01:00 UTC,A,Keep your bike and components safe with these essential steps,"<p>(January 7, 2015) Bike theft is getting a lot of attention recently - and with good reason. Bike theft is a deterrent for people riding bicycles and we want to keep people on their bikes and protecting their investments. Below are seven essential tips for keeping your bike safe. There is also a <a href=""/transportation/article/512857"">handy card you can download</a> that shows the best way to lock your bike and a place to write down your serial number for recovering a stolen bike. &nbsp;</p>
<h3><a href=""/transportation/article/520586""><img class=""content-right"" title=""bike theft card"" src=""/shared/cfm/image.cfm?id=520592"" alt=""bike theft card"" width=""350"" height=""265.332926084"" /></a>1. Always use a U-lock. Never use only a cable lock.</h3>
<h3>2. Lock your wheel and frame together (see card for example).&nbsp;</h3>
<h3>3. Use a bike rack (sign poles are not as secure).</h3>
<h3>4. When possible, do not park your bike on the sidewalk or street overnight.</h3>
<h3>5. Lock your bike in a well-lit and well-traveled area.</h3>
<h3>6. Take lights and other easily removed items with you.</h3>
<h3>7. Write down your serial number. It's the best piece of information you can have to recover your stolen bike. (<a href=""/transportation/article/512857"">Download the card</a> for more information).</h3>
<p>While our 7 tips are short and sweet, we do want to expand on a few of them. For example, we understand that not everyone has bike storage in their homes and that parking in public (Tip #4) or open places may be the only option. City bike racks are designed for short-term uses, such as going out to eat or visiting a friend. If you do not have more secure bike parking available, we suggest talking with your neighbors and property manager about creating a secure parking area. City building codes require all new multi-family (apartment) and commercial buildings (e.g. office) to have long-term bike parking facilities that are more secure than public racks and are weather protected. However, many buildings were constructed before building codes required bike parking. This leaves a gap in bike parking for many people. However, property managers may be responsive to tenants requesting essential services as part of their leases.&nbsp;</p>
<p>Our last tip (#7) does not actually help prevent bike theft, but does allow you to claim a bike that the police have recovered. Proof of ownership is essential for getting your stolen bike back. Your serial number and a picture of your bike are your two best preventative measures. An original receipt, if you bought the bike new, is also very useful.</p>
<p>Visit <strong><a href=""http://www.endbiketheft.org"">EndBikeTheft.org</a></strong> for more information on preventing bike theft.</p>
<p>For even more detail about securing your bike, check out <a href=""/oni/article/512021"">this article from the Office of Neighborhood Involvement's pages</a>.</p>",https://www.portlandoregon.gov/transportation/article/514410
News,514748,Updated Traffic Advisory: Private construction to close SW Jefferson St between SW 11th Ave and SW 12th Ave March 6-9,1,,2015-03-05 23:26:07 UTC,2015-01-09 00:45:00 UTC,A,,"<p><strong><em>March 5 Update:&nbsp;</em></strong></p>
<p><em>The Portland Bureau of Transportation advises the traveling public that tower crane work will close SW Jefferson St between SW 11<sup>th</sup> Ave and SW 12<sup>th</sup> Ave beginning at 7:00 pm Friday, March 6, 2015 and ending approximately 6:00 am Monday, March 9, 2015.</em></p>
<p><em>The closure is necessary for the contractor to perform work on the tower crane for the construction site on the north side of SW Jefferson St.&nbsp;</em></p>
<p><em>The same detour described below will be in effect during this closure. &nbsp;</em></p>
<p><strong><em>Jan 15 Update: </em></strong></p>
<p><em>Private construction will&nbsp;close SW Jefferson St between SW 11th Ave and SW 12th Ave from 7 am to 7 pm on Saturday, January 17, 2015.&nbsp; The closure is being scheduled on a Saturday to minimize disruption.&nbsp;&nbsp;&nbsp;</em></p>
<p><em>The closure is necessary for the contractor to perform work on the tower crane for the construction site on the north side of SW Jefferson St.&nbsp;</em></p>
<p><em>The same detour described below will be in effect during this 12-hour closure.&nbsp;&nbsp;It is expected to be the last closure for this project.</em></p>
<p><strong>Traffic Advisory: Private construction to close SW Jefferson Street, SW 11th to 12th avenues, Jan. 9-12</strong></p>
<p>(Jan. 8, 2015) - The Portland Bureau of Transportation advises the traveling public that tower crane placement for a private construction project will close SW Jefferson St between SW 11th Ave and SW 12th Ave beginning at 7 p.m. Friday, Jan. 9 and ending by about 6 a.m. Monday, Jan. 12.</p>
<p>A detour will be in effect during the closure. SW Jefferson traffic will be directed south on SW 11th Avenue to SW Clay Strett to SW 12th Avenue and back to SW Jefferson Street. People riding bicycles should follow the same detours as motor vehicle traffic. People walking through the area should use the sidewalk on the south side of SW Jefferson Street; the sidewalk on the north side has been closed for construction and will remain closed through the weekend. Local access to businesses and residences will be maintained.</p>
<p>The closure is necessary for the contractor to set up a tower crane for the construction site on the north side of SW Jefferson Street.</p>
<p>The public is advised to travel cautiously in the work zone and to observe detours. Travelers are advised to use alternate routes if possible.</p>
<p class=""content-center"">###</p>",https://www.portlandoregon.gov/transportation/article/514748
News,514771,Traffic Advisory: Winter paving to be completed on NE 28th Ave from NE Glisan Street to NE Broadway; lane closures January 12-14,1,,2015-01-09 17:36:45 UTC,2015-01-09 17:33:00 UTC,A,,"<p>(January 9, 2015) &nbsp;&ndash; The City of Portland Bureau of Transportation&nbsp;advises the traveling public that crews will pave NE 28<sup>th</sup> Avenue from NE Glisan Street to NE Broadway from Monday, January 12<sup>th</sup> through Wednesday January 14<sup>th</sup>, 7 a.m. through 5 p.m. each weekday.</p>
<p>&nbsp;Lane closures will be in effect during those times to allow crews to pave 1.39 lane miles. Access will be maintained for businesses and residents during the project.</p>
<p>&nbsp;These street improvements are part of the Transportation Bureau&rsquo;s winter paving program in which crews adjust tasks based on weather conditions instead of halting operations until dry weather.&nbsp; Crews will grind down old asphalt and prepare street surfaces for paving even in cold and rainy conditions. &nbsp;They will return to complete paving during a window of dry weather.&nbsp;&nbsp;&nbsp;</p>
<p>&nbsp;This stretch of NE 28<sup>th</sup> Avenue was <a href=""/transportation/article/509797"">prepared for resurfacing in mid-November.</a> With the expected stretch of dry weather next week, crews will complete the project next week. &nbsp;The street was open for travel between the two phases of the project.</p>
<p>&nbsp;Parking restriction barricades will be in place one or two workdays before the start of work. The traveling public is advised to expect delays while repairs are being made. We ask the public to travel cautiously, observe all lane closures and directions by flaggers, and use alternate routes if possible.</p>
<p>&nbsp;This work is weather-dependent and the schedule may change.</p>
<p>&nbsp;</p>
<p>###</p>",https://www.portlandoregon.gov/transportation/article/514771
News,514873,Traffic Advisory: NE Multnomah Street between NE 7th and 9th avenues to close tonight through the weekend for private construction,1,,2015-01-12 22:14:47 UTC,2015-01-09 22:18:00 UTC,A,,"<p>(January 9, 2015) - The Portland Bureau of Transportation advises the traveling public that tower crane work will close NE Multnomah St between NE 7<sup>th</sup> Ave and NE 9<sup>th</sup> Ave beginning at 6 pm tonight and extending through Sunday.&nbsp;&nbsp; The street will reopen before Monday&rsquo;s commute.</p>
<p>&nbsp;A detour will be in effect during those times.&nbsp; Westbound traffic will be directed north on NE 9<sup>th</sup> Ave to NE Halsey St to NE 7<sup>th</sup> Ave and back to NE Multnomah St. Eastbound traffic will be detoured south on NE 7<sup>th</sup> Ave, east on NE Holladay St, and north on NE 9<sup>th</sup> Ave.</p>
<p>&nbsp;Bicycle traffic should follow the same detours as vehicle traffic.&nbsp;</p>
<p>&nbsp;Pedestrian traffic should follow the existing construction detours. Local access to businesses and residences will be maintained. <strong></strong></p>
<p>&nbsp;The closure is necessary for the contractor constructing the Hassalo on Eighth project to dismantle the tower crane on the south side of Multnomah Street.&nbsp; A second weekend closure will occur in February to take down a second tower crane.</p>
<p>&nbsp;The public is advised to travel cautiously in the work zone and to observe detours. Travelers are advised to use alternate routes if possible.</p>
<p>###</p>
<p>&nbsp;</p>",https://www.portlandoregon.gov/transportation/article/514873
News,515157,Winter biking help from around the internet,1,,2015-01-13 21:38:12 UTC,2015-01-13 21:13:00 UTC,A,Check these resources when winter tests your resolve,"<p><img class=""content-right"" src=""/shared/cfm/image.cfm?id=515156"" alt=""bicycle in the rain_photo credit: Will Vanlue"" width=""250"" height=""166.625976562"" />(January 13, 2015) It&rsquo;s a couple of weeks into the New Year - are you having a hard time remembering your resolutions?&nbsp; Maybe you resolved to ride more, in order to stay fit or be more active throughout the year. But good habits can take some getting used to. Luckily there are lots of resources to help you to get out and about in the rain and cold weather. For example:</p>
<p>Our website has lots of helpful tips on <a href=""/transportation/article/58172"" target=""_blank"">riding in the dark and rain</a>.</p>
<p>If you&rsquo;re on a budget and need ideas for economical winter gear, <a href=""http://bikeportland.org/2009/11/06/winter-riding-staying-warm-and-dry-on-a-budget-25696"">check out this classic article from BikePortland.org</a>.</p>
<p>If money is no object, take a look at <a href=""http://momentummag.com/topics/rain-gear/"">the stylish offerings highlighted by Momentum Magazine</a>.</p>
<p>And if a little extra motivation would help, read <a href=""http://orbike.com/5-tips-to-help-you-stay-on-your-bike-this-winter/"">ORbike&rsquo;s 5 Tips to help you stay on the bike</a>.</p>
<p>Even if you didn&rsquo;t make it a New Year&rsquo;s resolution, riding your bike is a great way to stay fit, save money and enjoy the outdoors year &lsquo;round.</p>
<p>&nbsp;</p>
<p>(photo credit: <a href=""https://www.flickr.com/photos/wv/7006300261/in/photolist-bF88xB-bkEYUP-bkEXsc-bF87Yn-95tLXZ-bF896T-9rXugB"">Will Vanlue/ Flickr&nbsp;</a>&nbsp;[CC BY-NC-SA 2.0])</p>",https://www.portlandoregon.gov/transportation/article/515157
News,515459,Traffic Advisory: Winter paving to close lanes on SE 7th Avenue from SE Belmont Street to SE Stark Street January 16-20,1,,2015-01-15 19:16:15 UTC,2015-01-15 19:15:00 UTC,A,,"<p>(January 15, 2015) &nbsp;&ndash; The City of Portland Bureau of Transportation&nbsp;advises the traveling public that street improvements will require lane closures on SE 7<sup>th</sup> Avenue from SE Belmont Street to SE Stark Street from Friday, January 16 through Tuesday, January 20, 7 a.m. through 5 p.m. each weekday. This project may also include some weekend work.</p>
<p>&nbsp;The lane closures will allow crews to grind .83 lane miles of pavement in preparation for paving at a later date.&nbsp;</p>
<p>&nbsp;PBOT street improvement crews work through the winter, adjusting tasks based on weather conditions. Crews will grind down old asphalt and prepare street surfaces for paving even in cold and rainy conditions. They will return to complete paving during a window of dry weather.</p>
<p>&nbsp;Streets with ground down surfaces are open for travel. Lane closures are only in effect during project hours. Access will be maintained for businesses and residents during the project.</p>
<p>&nbsp;Parking restriction barricades will be in place one or two workdays before the start of work. The traveling public is advised to expect delays while repairs are being made. We ask the public to travel cautiously, observe all lane closures<strong> </strong>and directions by flaggers, and use alternate routes if possible.</p>
<p>&nbsp;This work is weather-dependent and the schedule may change</p>
<p>&nbsp;</p>
<p>###</p>
<p>&nbsp;</p>",https://www.portlandoregon.gov/transportation/article/515459
News,515547,Mayor Hales: Portland transportation leaders pause street fund vote as legislature crafts transportation bill,1,,2015-01-16 01:30:46 UTC,2015-01-16 01:29:00 UTC,A,,"<p>Office of Mayor Charlie Hales City of Portland</p>
<p>THURSDAY, JAN. 15, 2015 PRESS RELEASE</p>
<p>PORTLAND TRANSPORTATION LEADERS PAUSE STREET FUND VOTE AS LEGISLATURE CRAFTS TRANSPORTATION BILL</p>
<p>PORTLAND, OR &ndash; Portland Mayor Charlie Hales and Transportation Commissioner Steve Novick today temporarily halted the paperwork necessary to take an advisory vote to the May ballot, regarding options to pay for city street maintenance and safety.</p>
<p>&ldquo;Today, I am announcing a pause in our local efforts to fund our streets and safety projects within the City of Portland,&rdquo; Mayor Hales said. &ldquo;Over the past week, I have had conversations with Speaker of the House Tina Kotek and with Gov. John Kitzhaber. They have each assured me that a statewide transportation package is a top priority for them this legislative session.&rdquo;</p>
<p>The Legislature is set to convene in February. The deadline for Portland to submit paperwork for the May election was 5 p.m. today.</p>
<p>&ldquo;Because they recognize the importance of efforts to fund transportation infrastructure, they will hear the needs of local governments and ensure they are part of state transportation conversations as they work to give communities the tools to build and maintain critical infrastructure,&rdquo; Hales said.</p>
<p>&ldquo;We are pleased to know that the Legislature is very interested in a transportation funding discussion this year,&rdquo; Commissioner Novick said. &ldquo;We have said all along that the street fund we have proposed will not address all our needs, and that we are counting on the state and federal governments to step up.&rdquo;</p>
<p>The city has conducted more than 14 months of hearings to craft a proposal to pay for street maintenance and safety.</p>
<p>&ldquo;During the passionate conversations we have had in Portland regarding transportation funding, many options were discussed, none of which prove to be popular,&rdquo; Hales said. 2</p>
<p>&ldquo;Some options were put forward by Portlanders that we do not have the authority to enact. As your mayor, I will go to Salem to seek that authority.&rdquo;</p>
<p>Hales said he also will enlist the aid of mayors throughout Oregon to push for more authority for cities. &ldquo;Together, we can represent the needs of cities, all of which will benefit from new options to fund infrastructure at a time when the existing options don&rsquo;t satisfy our communities,&rdquo; he said.</p>
<p>&ldquo;The completion of this work comes when all three levels of government have acted; when Congress, the Legislature and the Portland City Council have all authorized new revenues to pay for streets and roads,&rdquo; Hales said. &ldquo;This cooperation between the State of Oregon and local governments gives us, as Oregonians, the best way forward toward that objective.&rdquo;</p>
<p>-- 30 --</p>",https://www.portlandoregon.gov/transportation/article/515547
News,515663,Fix-It Fair season continues,1,,2015-01-17 00:28:03 UTC,2015-01-16 21:12:00 UTC,A,"Portland's signature events help you improve your home, your bike, your finances and more!","<p>(January 16, 2015) &nbsp;It&rsquo;s not too late to attend a <a href=""/bps/41892"">Fix-It Fair</a>! Two more fairs will take place from 9:30am to 3:00pm on <strong>Saturday, January 24</strong> at Rosa Parks Elementary School and <strong>Saturday, February 21</strong> at David Douglas High School. You can view the <a href=""/bps/article/507364"">brochure for the January 2015 Fix-It Fair here</a>.</p>
<p><img class=""content-left"" src=""/shared/cfm/image.cfm?id=515728"" alt=""Volunteers fix bikes at Fix It Fair"" width=""250"" height=""333.333333333"" />Fix-It Fairs are FREE City of Portland events where you can learn simple ways to save money and connect with local resources. Join your neighbors and talk to the experts on topics such as water and energy, health, food and nutrition, community resources, recycling, yard care and even active transportation! You can also take advantage of more than 25 workshops offered hourly and <strong>free on-site childcare and lunch are provided</strong> at each fair.</p>
<p>At the January event <a href=""https://sites.google.com/site/bikes4humanity/"">Bikes for Humanity</a> will host a workshop on <strong><em>Bike Flat Tire Repair and Chain Maintenance</em></strong> at 1:00pm and <a href=""/transportation/44099"">Portland By Cycle</a> will be offering our <strong>All-Season Cycling</strong> class at 2:00pm.</p>
<p>The <a href=""/transportation/40511"">Safe Routes to School</a> program will offer <strong>free minor bike repairs for students and families</strong>. Mechanics from Bikes For Humanity and <a href=""http://bikefarm.org/"">Bike Farm</a> will volunteer their time to fix as many bikes as possible at the fair. Please deliver your bike for repair before 2:00pm to ensure it is completed before the Fair ends at 3:00pm.</p>
<p><strong>9:30 AM &ndash; 3:00 PM, Saturday, January 24, 2015</strong></p>
<p>Rosa Parks Elementary School<br /> 8960 N Woolsey Ave<br /> <br /> <strong>9:30 AM &ndash; 3:00 PM, Saturday, February 21, 2015</strong></p>
<p>David Douglas High School<br /> 1001 SE 135th Ave</p>
<p>For more information on the Fix-It Fairs, <a href=""/bps/41892"">check out BPS&rsquo;s website</a> or <a href=""/bps/article/507364"">download the brochure</a> (pdf) for the upcoming event.</p>",https://www.portlandoregon.gov/transportation/article/515663
News,516026,UPDATED Traffic Advisory: Winter paving to close lanes on SE Morrison from 12th to 30th Jan 26-30,1,,2015-02-17 22:14:32 UTC,2015-01-22 16:42:00 UTC,A,,"<p><em>(February 17, 2015)&nbsp; - UPDATE: PBOT crews finished paving this street today</em></p>
<p>(January 22, 2015) &nbsp;&ndash; The City of Portland Bureau of Transportation&nbsp;advises the traveling public that street improvements will require lane closures on SE Morrison Street from SE 12<sup>th</sup> Avenue to SE 20<sup>th</sup> Avenue from Monday, January 26<sup>th</sup> through Friday, January 30<sup>th</sup> , 7 a.m. through 5 p.m. each weekday. This project may also include some weekend work.</p>
<p>&nbsp;The lane closures will allow crews to grind 1.11 lane miles of pavement in preparation for paving at a later date.&nbsp;</p>
<p>&nbsp;PBOT street improvement crews work through the winter, adjusting tasks based on weather conditions. Crews will grind down old asphalt and prepare street surfaces for paving even in cold and rainy conditions. They will return to complete paving during a window of dry weather.</p>
<p>&nbsp;Streets with ground down surfaces are open for travel. Lane closures are only in effect during project hours. Access will be maintained for businesses and residents during the project.</p>
<p>&nbsp;Parking restriction barricades will be in place one or two workdays before the start of work. The traveling public is advised to expect delays while repairs are being made. We ask the public to travel cautiously, observe all lane closures and directions by flaggers, and use alternate routes if possible.</p>
<p>&nbsp;This work is weather-dependent and the schedule may change</p>
<p>&nbsp;</p>
<p>###</p>",https://www.portlandoregon.gov/transportation/article/516026
