"CATEGORY_NAME","CONTENT_ID","DEPTH","END_DATE","EVENT_NAME","EVENT_TYPE_NAME","EXPIRE_DATE","LAST_UPDATED_DATE","LENGTH","LOCATION","PUBLISH_DATE","START_DATE","STATUS","SUMMARY_TEXT","TEXT","URL",
"Calendar",795904,1,"2021-09-08 02:30:00 UTC","PCCEP Behavioral Health Subcommittee September Public Meeting","Community Events","","2021-09-03 20:50:14 UTC","","Zoom ","2021-09-02 15:20:00 UTC","2021-09-08 01:00:00 UTC","A","PCCEP Behavioral Health Subcommittee September Public Meeting","<p>In accordance with City and State guidelines regarding the COVID-19 coronavirus&nbsp;and to do our part in our community health and wellness,&nbsp;<a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1n1174f r-1loqt21 r-1qd0xha r-ad9z0x r-bcqeeo r-qvutc0"" dir=""ltr"" href=""https://twitter.com/hashtag/PCCEP?src=hashtag_click"" data-focusable=""true"">PCCEP</a>&nbsp;is canceling all in-person meetings&nbsp;and meetings will be held via Zoom. Questions?&nbsp;<a href=""mailto:PCCEPinfo@portlandoregon.gov"">PCCEPinfo@portlandoregon.gov</a>.</p>
<p>&nbsp;</p>
<p><a href=""/pccep/article/795915"">View Agenda</a></p>
<p>&nbsp;</p>
<p><strong>Zoom info:</strong></p>
<p><strong>Join Zoom Meeting</strong><br /><strong><a href=""https://us02web.zoom.us/j/84227731182"">https://us02web.zoom.us/j/84227731182</a></strong></p>
<p><strong>Meeting ID: 842 2773 1182</strong></p>
<p><br /><strong>One tap mobile</strong><br /><strong>+12532158782,,84227731182# US&nbsp;</strong></p>
<p><strong>Dial by your location</strong><br /><strong> +1 253 215 8782 US</strong></p>
<p>&nbsp;</p>
<p>To help ensure equal access to our programs, services, and activities, the City of Portland will reasonably modify policies/procedures and provide auxiliary aids/services to persons with disabilities. If there are ways we can help you more fully participate in this process, please contact Claudia Claudio at claudia.claudio@portlandoregon.gov.&nbsp;Use City TTY 503-823-6868, or use Oregon Relay Service: 711</p>","https://www.portlandoregon.gov/pccep/article/795904",
"Calendar",795911,1,"2021-09-14 01:15:00 UTC","PCCEP Youth Subcommittee September Public Meeting","Community Events","","2021-09-02 19:06:51 UTC","","Zoom ","2021-09-02 19:04:00 UTC","2021-09-14 00:00:00 UTC","A","PCCEP Youth Subcommittee September Public Meeting","<p>In accordance with City and State guidelines regarding the COVID-19 coronavirus&nbsp;and to do our part in our community health and wellness,&nbsp;<a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1n1174f r-1loqt21 r-1qd0xha r-ad9z0x r-bcqeeo r-qvutc0"" dir=""ltr"" href=""https://twitter.com/hashtag/PCCEP?src=hashtag_click"" data-focusable=""true"">PCCEP</a>&nbsp;is canceling all in-person meetings&nbsp;and meetings will be held via Zoom. Questions?&nbsp;<a href=""mailto:PCCEPinfo@portlandoregon.gov"">PCCEPinfo@portlandoregon.gov</a>.</p>
<p>&nbsp;</p>
<p>Agenda TBA</p>
<p>&nbsp;</p>
<p><strong>Zoom info:</strong></p>
<p><strong>Join Zoom Meeting</strong><br /><strong><a href=""https://us02web.zoom.us/j/87471274735"">https://us02web.zoom.us/j/87471274735</a></strong></p>
<p><strong>Meeting ID: 874 7127 4735</strong></p>
<p><br /><strong>One tap mobile</strong><br /><strong>+12532158782,,87471274735# US&nbsp;</strong></p>
<p><strong>Dial by your location</strong><br /><strong> +1 253 215 8782 US&nbsp;</strong></p>
<p><br /><br /></p>
<p>&nbsp;</p>
<p>To help ensure equal access to our programs, services, and activities, the City of Portland will reasonably modify policies/procedures and provide auxiliary aids/services to persons with disabilities. If there are ways we can help you more fully participate in this process, please contact Claudia Claudio at claudia.claudio@portlandoregon.gov.&nbsp;Use City TTY 503-823-6868, or use Oregon Relay Service: 711</p>","https://www.portlandoregon.gov/pccep/article/795911",
"Calendar",795905,1,"2021-09-15 02:00:00 UTC","PCCEP Steering Committee September Public Meeting ","Community Events","","2021-09-02 19:01:36 UTC","","Zoom ","2021-09-02 15:24:00 UTC","2021-09-15 00:30:00 UTC","A","PCCEP Steering Committee September Public Meeting","<p>&nbsp;<span style=""; font-style: normal; font-weight: 400; font-size: 13.2px;"">In accordance with City and State guidelines regarding the COVID-19 coronavirus&nbsp;and to do our part in our community health and wellness,&nbsp;</span><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1n1174f r-1loqt21 r-1qd0xha r-ad9z0x r-bcqeeo r-qvutc0"" style=""; font-style: normal; font-weight: 400; font-size: 13.2px;"" dir=""ltr"" href=""https://twitter.com/hashtag/PCCEP?src=hashtag_click"" data-focusable=""true"">PCCEP</a><span style=""; font-style: normal; font-weight: 400; font-size: 13.2px;"">&nbsp;is canceling all in-person meetings&nbsp;and meetings will be held via Zoom. Questions?&nbsp;</span><a style=""; font-style: normal; font-weight: 400; font-size: 13.2px;"" href=""mailto:PCCEPinfo@portlandoregon.gov"">PCCEPinfo@portlandoregon.gov</a><span style=""; font-style: normal; font-weight: 400; font-size: 13.2px;"">.</span></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>AGENDA TBA</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><strong>Zoom info:</strong></p>
<p><strong>Join Zoom Meeting</strong><br /><strong><a href=""https://us02web.zoom.us/j/87103954026"">https://us02web.zoom.us/j/87103954026</a></strong></p>
<p><strong>Meeting ID: 871 0395 4026</strong></p>
<p><br /><strong>One tap mobile</strong><br /><strong>+12532158782,,87103954026# US</strong></p>
<p><strong>Dial by your location</strong><br /><strong> +1 253 215 8782 US</strong></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><br /><br /></p>
<p>&nbsp;</p>
<p>To help ensure equal access to our programs, services, and activities, the City of Portland will reasonably modify policies/procedures and provide auxiliary aids/services to persons with disabilities. If there are ways we can help you more fully participate in this process, please contact Claudia Claudio at claudia.claudio@portlandoregon.gov.&nbsp;Use City TTY 503-823-6868, or use Oregon Relay Service: 711</p>","https://www.portlandoregon.gov/pccep/article/795905",
"Calendar",795906,1,"2021-09-23 01:30:00 UTC","PCCEP Settlement Agreement and Policy Subcommittee September Public Meeting","Community Events","","2021-09-17 17:36:42 UTC","","Zoom ","2021-09-02 15:39:00 UTC","2021-09-23 00:00:00 UTC","A","PCCEP Settlement Agreement and Policy Subcommittee September Public Meeting","<p>In accordance with City and State guidelines regarding the COVID-19 coronavirus&nbsp;and to do our part in our community health and wellness,&nbsp;<a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1n1174f r-1loqt21 r-1qd0xha r-ad9z0x r-bcqeeo r-qvutc0"" dir=""ltr"" href=""https://twitter.com/hashtag/PCCEP?src=hashtag_click"" data-focusable=""true"">PCCEP</a>&nbsp;is canceling all in-person meetings&nbsp;and meetings will be held via Zoom. Questions?&nbsp;<a href=""mailto:PCCEPinfo@portlandoregon.gov"">PCCEPinfo@portlandoregon.gov</a>.</p>
<p>&nbsp;</p>
<p><strong><a href=""/pccep/article/796014"">View Agenda&nbsp;</a></strong></p>
<p>&nbsp;</p>
<p><strong><span style=""font-size: 1.1em;"">Zoom info:</span></strong></p>
<p><strong>Join Zoom Meeting</strong><br /><strong><a href=""https://us02web.zoom.us/j/83244828280"">https://us02web.zoom.us/j/83244828280</a></strong></p>
<p><strong>Meeting ID: 832 4482 8280</strong></p>
<p><br /><strong>One tap mobile</strong><br /><strong>+12532158782,,83244828280# US&nbsp;</strong></p>
<p><strong>Dial by your location</strong><br /><strong> +1 253 215 8782 US</strong></p>
<p><br /><br /></p>
<p>&nbsp;</p>
<p>To help ensure equal access to our programs, services, and activities, the City of Portland will reasonably modify policies/procedures and provide auxiliary aids/services to persons with disabilities. If there are ways we can help you more fully participate in this process, please contact Claudia Claudio at claudia.claudio@portlandoregon.gov.&nbsp;Use City TTY 503-823-6868, or use Oregon Relay Service: 711</p>","https://www.portlandoregon.gov/pccep/article/795906",
"Calendar",795909,1,"2021-09-24 02:00:00 UTC","PCCEP Racial Equity Subcommittee September Public Meeting","Community Events","","2021-09-02 18:58:52 UTC","","Zoom ","2021-09-02 18:45:00 UTC","2021-09-24 00:30:00 UTC","A","PCCEP Racial Equity Subcommittee September Public Meeting","<p>In accordance with City and State guidelines regarding the COVID-19 coronavirus&nbsp;and to do our part in our community health and wellness,&nbsp;<a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1n1174f r-1loqt21 r-1qd0xha r-ad9z0x r-bcqeeo r-qvutc0"" dir=""ltr"" href=""https://twitter.com/hashtag/PCCEP?src=hashtag_click"" data-focusable=""true"">PCCEP</a>&nbsp;is canceling all in-person meetings&nbsp;and meetings will be held via Zoom. Questions?&nbsp;<a href=""mailto:PCCEPinfo@portlandoregon.gov"">PCCEPinfo@portlandoregon.gov</a>.</p>
<p>&nbsp;</p>
<p>Agenda TBA</p>
<p>&nbsp;</p>
<p>Zoom info:</p>
<p>Join Zoom Meeting<br /><a href=""https://us02web.zoom.us/j/89821721917"">https://us02web.zoom.us/j/89821721917</a></p>
<p>Meeting ID: 898 2172 1917</p>
<p><br />One tap mobile<br />+12532158782,,89821721917# US&nbsp;</p>
<p>Dial by your location<br /> +1 253 215 8782 US&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>To help ensure equal access to our programs, services, and activities, the City of Portland will reasonably modify policies/procedures and provide auxiliary aids/services to persons with disabilities. If there are ways we can help you more fully participate in this process, please contact Claudia Claudio at claudia.claudio@portlandoregon.gov.&nbsp;Use City TTY 503-823-6868, or use Oregon Relay Service: 711</p>","https://www.portlandoregon.gov/pccep/article/795909",
"Calendar",795910,1,"2021-09-29 03:00:00 UTC","PCCEP Full Board September Public Meeting ","Community Events","","2021-09-28 19:25:05 UTC","","Zoom ","2021-09-02 18:47:00 UTC","2021-09-29 00:00:00 UTC","A","PCCEP Full Board September Public Meeting","<p>In accordance with City and State guidelines regarding the COVID-19 coronavirus&nbsp;and to do our part in our community health and wellness,&nbsp;<a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1n1174f r-1loqt21 r-1qd0xha r-ad9z0x r-bcqeeo r-qvutc0"" dir=""ltr"" href=""https://twitter.com/hashtag/PCCEP?src=hashtag_click"" data-focusable=""true"">PCCEP</a>&nbsp;is canceling all in-person meetings&nbsp;and meetings will be held via Zoom. Questions?&nbsp;<a href=""mailto:PCCEPinfo@portlandoregon.gov"">PCCEPinfo@portlandoregon.gov</a>.</p>
<p>&nbsp;</p>
<p><strong><a href=""/pccep/article/796162"">View Agenda&nbsp;</a></strong></p>
<p>&nbsp;</p>
<p>Zoom info:</p>
<p>&nbsp;</p>
<p><br /><strong>Join Zoom Meeting</strong><br /><strong><a href=""https://us02web.zoom.us/j/89540065223"">https://us02web.zoom.us/j/89540065223</a></strong></p>
<p><strong>Meeting ID: 895 4006 5223</strong></p>
<p><br /><strong>One tap mobile</strong><br /><strong>+13462487799,,89540065223# US&nbsp;</strong><br /><br /></p>
<p><strong>Dial by your location</strong><br /><strong> +1 346 248 7799 US&nbsp;</strong><br /><br /></p>
<p><br /><br /></p>
<p>&nbsp;</p>
<p>To help ensure equal access to our programs, services, and activities, the City of Portland will reasonably modify policies/procedures and provide auxiliary aids/services to persons with disabilities. If there are ways we can help you more fully participate in this process, please contact Claudia Claudio at claudia.claudio@portlandoregon.gov.&nbsp;Use City TTY 503-823-6868, or use Oregon Relay Service: 711</p>","https://www.portlandoregon.gov/pccep/article/795910",
"Calendar",796430,1,"2021-10-06 02:30:00 UTC","PCCEP Behavioral Health Subcommittee October Meeting","Community Events","","2021-09-29 21:00:05 UTC","","Zoom ","2021-09-29 20:56:00 UTC","2021-10-06 01:00:00 UTC","A","PCCEP Behavioral Health Subcommittee October Meeting","<p>In accordance with City and State guidelines regarding the COVID-19 coronavirus&nbsp;and to do our part in our community health and wellness,&nbsp;<a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1n1174f r-1loqt21 r-1qd0xha r-ad9z0x r-bcqeeo r-qvutc0"" dir=""ltr"" href=""https://twitter.com/hashtag/PCCEP?src=hashtag_click"" data-focusable=""true"">PCCEP</a>&nbsp;is canceling all in-person meetings&nbsp;and meetings will be held via Zoom. Questions?&nbsp;<a href=""mailto:PCCEPinfo@portlandoregon.gov"">PCCEPinfo@portlandoregon.gov</a>.</p>
<p>&nbsp;</p>
<p><strong>Agenda TBA</strong></p>
<p>&nbsp;</p>
<p><strong>Zoom info:</strong></p>
<p><strong><a href=""https://us02web.zoom.us/j/84787515550"">https://us02web.zoom.us/j/84787515550</a></strong></p>
<p><strong>Meeting ID: 847 8751 5550</strong><br /><strong>One tap mobile</strong><br /><strong>+12532158782,,84787515550# US&nbsp;</strong></p>
<p><strong>Dial by your location</strong><br /><strong> +1 253 215 8782 US&nbsp;</strong></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>To help ensure equal access to our programs, services, and activities, the City of Portland will reasonably modify policies/procedures and provide auxiliary aids/services to persons with disabilities. If there are ways we can help you more fully participate in this process, please contact Claudia Claudio at claudia.claudio@portlandoregon.gov.&nbsp;Use City TTY 503-823-6868, or use Oregon Relay Service: 711</p>","https://www.portlandoregon.gov/pccep/article/796430",
"Calendar",796468,1,"2021-10-12 01:15:00 UTC","PCCEP Youth Subcommittee October Meeting ","Community Events","","2021-10-07 20:07:48 UTC","","Zoom ","2021-10-01 22:02:00 UTC","2021-10-12 00:00:00 UTC","A","PCCEP Youth Subcommittee October Meeting Youth Outreach","<p>In accordance with City and State guidelines regarding the COVID-19 coronavirus&nbsp;and to do our part in our community health and wellness,&nbsp;<a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1n1174f r-1loqt21 r-1qd0xha r-ad9z0x r-bcqeeo r-qvutc0"" dir=""ltr"" href=""https://twitter.com/hashtag/PCCEP?src=hashtag_click"" data-focusable=""true"">PCCEP</a>&nbsp;is canceling all in-person meetings&nbsp;and meetings will be held via Zoom. Questions?&nbsp;<a href=""mailto:PCCEPinfo@portlandoregon.gov"">PCCEPinfo@portlandoregon.gov</a>.</p>
<p>&nbsp;</p>
<p><strong><a href=""/pccep/article/796506"">View Agenda&nbsp;</a></strong></p>
<p>&nbsp;</p>
<p><strong>Zoom info:</strong></p>
<p><strong>Zoom Meeting Link: <a href=""https://us02web.zoom.us/j/81506757729"">https://us02web.zoom.us/j/81506757729</a></strong></p>
<p><strong> Meeting ID: 815 0675 7729 </strong></p>
<p><strong>One tap mobile: +12532158782,,81506757729# US </strong></p>
<p><strong>Dial by your location: +1 253 215 8782 US</strong></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>To help ensure equal access to our programs, services, and activities, the City of Portland will reasonably modify policies/procedures and provide auxiliary aids/services to persons with disabilities. If there are ways we can help you more fully participate in this process, please contact Claudia Claudio at claudia.claudio@portlandoregon.gov.&nbsp;Use City TTY 503-823-6868, or use Oregon Relay Service: 711</p>","https://www.portlandoregon.gov/pccep/article/796468",
"Calendar",796469,1,"2021-10-13 02:00:00 UTC","PCCEP Steering Committee October Meeting ","Community Events","","2021-10-07 20:20:14 UTC","","Zoom ","2021-10-01 22:09:00 UTC","2021-10-13 00:30:00 UTC","A","PCCEP Steering Committee October Public Meeting","<p><a href=""/pccep/article/796468"">&nbsp;</a></p>
<p>In accordance with City and State guidelines regarding the COVID-19 coronavirus&nbsp;and to do our part in our community health and wellness,&nbsp;<a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1n1174f r-1loqt21 r-1qd0xha r-ad9z0x r-bcqeeo r-qvutc0"" dir=""ltr"" href=""https://twitter.com/hashtag/PCCEP?src=hashtag_click"" data-focusable=""true"">PCCEP</a>&nbsp;is canceling all in-person meetings&nbsp;and meetings will be held via Zoom. Questions?&nbsp;<a href=""mailto:PCCEPinfo@portlandoregon.gov"">PCCEPinfo@portlandoregon.gov</a>.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><strong><a href=""/pccep/article/796588"">View Agenda&nbsp;</a></strong></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><strong>Zoom info:</strong></p>
<p><strong>Zoom Meeting Link<a href=""https://portlandoregongov-my.sharepoint.com/personal/claudia_claudio_portlandoregon_gov/Documents/:%20https:/us02web.zoom.us/j/85893513853"">:</a> <a href=""https://us02web.zoom.us/j/87113969248"">https://us02web.zoom.us/j/87113969248</a></strong></p>
<p><strong>One tap mobile: +12532158782,,87113969248# US</strong></p>
<p><strong>Dial by your location: +1 253 215 8782 US</strong></p>
<p><strong>Meeting ID: 871 1396 9248</strong></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>To help ensure equal access to our programs, services, and activities, the City of Portland will reasonably modify policies/procedures and provide auxiliary aids/services to persons with disabilities. If there are ways we can help you more fully participate in this process, please contact Claudia Claudio at claudia.claudio@portlandoregon.gov.&nbsp;Use City TTY 503-823-6868, or use Oregon Relay Service: 711</p>","https://www.portlandoregon.gov/pccep/article/796469",
"Calendar",796470,1,"2021-10-15 01:30:00 UTC","PCCEP Settlement Agreement and Policy Subcommittee October Public Meeting/ COCL Townhall","Community Events","","2021-10-15 00:05:05 UTC","","Zoom ","2021-10-01 22:12:00 UTC","2021-10-15 00:00:00 UTC","A","PCCEP Settlement Agreement and Policy Subcommittee October Public Meeting. COCL Townhall","<p>In accordance with City and State guidelines regarding the COVID-19 coronavirus&nbsp;and to do our part in our community health and wellness,&nbsp;<a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1n1174f r-1loqt21 r-1qd0xha r-ad9z0x r-bcqeeo r-qvutc0"" dir=""ltr"" href=""https://twitter.com/hashtag/PCCEP?src=hashtag_click"" data-focusable=""true"">PCCEP</a>&nbsp;is canceling all in-person meetings&nbsp;and meetings will be held via Zoom. Questions?&nbsp;<a href=""mailto:PCCEPinfo@portlandoregon.gov"">PCCEPinfo@portlandoregon.gov</a>.</p>
<p>&nbsp;</p>
<p><strong>&nbsp;Compliance Officer and Community Liaison (COCL) Townhall&nbsp;</strong></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><strong><a href=""/pccep/article/796587"">View Agenda</a></strong></p>
<p>&nbsp;</p>
<p>Join Zoom Meeting<br /><a href=""https://us02web.zoom.us/j/87389350125"">https://us02web.zoom.us/j/87389350125</a></p>
<p>Meeting ID: 873 8935 0125<br />One tap mobile<br />+12532158782,,87389350125# US (Tacoma)<br />+13462487799,,87389350125# US (Houston)</p>
<p>Dial by your location<br /> +1 253 215 8782 US (Tacoma)<br /> +1 346 248 7799 US (Houston)<br /> +1 669 900 6833 US (San Jose)<br /> +1 301 715 8592 US (Washington DC)<br /> +1 312 626 6799 US (Chicago)</p>
<p><strong>&nbsp;</strong></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>To help ensure equal access to our programs, services, and activities, the City of Portland will reasonably modify policies/procedures and provide auxiliary aids/services to persons with disabilities. If there are ways we can help you more fully participate in this process, please contact Claudia Claudio at claudia.claudio@portlandoregon.gov.&nbsp;Use City TTY 503-823-6868, or use Oregon Relay Service: 711</p>","https://www.portlandoregon.gov/pccep/article/796470",
